esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Wiley Hybrid (DEAL),Germany,TDM Support,1,0.9971469329529244,1,0.9996558054153282,0.9997973041451302,0.997822931785196,0.30384036144578314,0.027555555555555555
Wiley Hybrid (DEAL),Germany,ORCID,0.6672897196261682,0.7517831669044223,0.7560010551305724,0.8530289123451125,0.8244653896827809,0.8734881470730528,0.8419929718875502,0.9301333333333334
Wiley Hybrid (DEAL),Germany,Funder info,0.7794392523364486,0.7803138373751783,0.5734634661039304,0.5968334098210188,0.49771967163271513,0.5417271407837445,0.5316265060240963,0.5688888888888889
Wiley Hybrid (DEAL),Germany,Open Abstracts,0.8934579439252337,0.920114122681883,0.9472434713795832,0.9287517209729234,0.9321982365460626,0.9385582970488631,0.9751506024096386,0.9655111111111111
Wiley Hybrid (DEAL),Germany,Open Citations,0.9962616822429906,0.9985734664764622,0.9920865207069375,0.9857732905002294,0.9863180297962907,0.9836719883889695,0.9882028112449799,0.9884444444444445
Wiley Hybrid (DEAL),Global,TDM Support,0.9975683890577508,0.9986049350422879,0.9998863248834831,0.9986236476537994,0.9996932828954095,0.9872351383166569,0.2943114703139571,0.03728596575452072
Wiley Hybrid (DEAL),Global,ORCID,0.5765349544072949,0.715842706426018,0.77571899511197,0.8512579220280392,0.8623606993149985,0.8743010594467334,0.8847062480571961,0.91616436407603
Wiley Hybrid (DEAL),Global,Funder info,0.7522188449848024,0.7496730316505362,0.6298738206206661,0.5721144613020933,0.4893671403741949,0.488007651559741,0.5003574759092322,0.5145000977934248
Wiley Hybrid (DEAL),Global,Open Abstracts,0.8583586626139817,0.879937222076903,0.8962714561782426,0.8856027142948595,0.8975820468254779,0.9096711300765156,0.9520671433012123,0.9545527284365498
Wiley Hybrid (DEAL),Global,Open Citations,0.980790273556231,0.9842183276658819,0.9864158235762192,0.9784584853722553,0.9829516409365096,0.9811102118893467,0.980105688529686,0.9815614942835298
