cr_year,agreement,lead,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total
2020,Springer Hybrid,DEAL,8683,8675,5074,6563,7590,8274
2020,IOP,TIB,313,313,282,221,262,306
2022,IOP,TIB,143,143,124,97,137,140
2020,Sage,BSB,371,371,310,152,356,359
2021,RSC,TIB,463,0,451,396,463,450
2022,Sage,BSB,407,407,372,151,384,391
2021,Sage,BSB,707,707,625,269,673,684
2022,Wiley Hybrid,DEAL,4446,4433,3897,2332,32,4359
2019,IOP,TIB,231,231,208,154,170,230
2017,Sage,BSB,20,20,1,6,4,20
2019,Springer Hybrid,DEAL,1365,1359,828,672,466,1300
2021,Springer Hybrid,DEAL,10851,10851,7500,9585,9507,9967
2022,Springer Hybrid,DEAL,5105,5105,3721,4672,4485,4782
2018,Springer Hybrid,DEAL,1150,1145,602,567,40,1117
2017,Springer Hybrid,DEAL,1001,1001,392,481,30,978
2020,Wiley Hybrid,DEAL,8630,8630,7372,5158,74,8523
2019,Wiley Hybrid,DEAL,3619,3619,2742,2061,36,3590
2019,Karger,BSB,16,16,3,0,16,13
2021,Wiley Hybrid,DEAL,9650,9649,8016,4802,82,9528
2018,Sage,BSB,14,14,6,3,9,14
2020,RSC,TIB,435,0,420,370,435,419
2022,De Gruyter,SUB Göttingen,60,60,12,0,37,39
2017,TaylorFrancis,ZBW,37,37,12,18,0,37
2017,Wiley Hybrid,DEAL,501,501,333,388,31,500
2021,BMJ,BSB,72,0,67,40,66,72
2019,CUP,BSB,148,1,90,0,147,146
2020,CUP,BSB,203,0,138,0,193,196
2020,ECS,TIB,71,71,57,50,70,71
2019,Sage,BSB,114,114,80,48,96,113
2017,IOP,TIB,96,96,30,56,2,95
2021,IOP,TIB,333,333,305,231,299,332
2018,RSC,TIB,258,0,248,205,258,248
2019,RSC,TIB,378,0,362,310,378,361
2022,RSC,TIB,212,0,203,188,212,203
2018,Wiley Hybrid,DEAL,658,658,507,514,9,658
2018,IOP,TIB,150,150,128,96,0,148
2022,CUP,BSB,185,0,154,55,181,180
2018,ECS,TIB,64,0,63,47,0,64
2022,Nature,MPDL,140,140,139,50,131,131
2020,BMJ,BSB,36,0,36,29,29,34
2021,TaylorFrancis,ZBW,158,0,117,86,0,157
2019,TaylorFrancis,ZBW,90,37,43,25,0,86
2020,Karger,BSB,95,95,42,0,94,91
2021,Nature,MPDL,148,148,148,55,142,140
2021,Karger,BSB,105,105,58,0,105,98
2022,Karger,BSB,20,20,17,0,19,17
2021,De Gruyter,ZBW,18,18,5,0,17,17
2020,TaylorFrancis,ZBW,100,0,52,43,0,97
2022,TaylorFrancis,ZBW,79,1,58,42,0,78
2021,Portland Press,TIB,32,0,31,0,32,32
2019,De Gruyter,ZBW,30,30,0,1,22,21
2019,ECS,TIB,71,2,70,41,2,71
2017,RSC,TIB,121,0,114,66,121,117
2020,Nature,MPDL,9,9,9,4,9,9
2017,Nature,MPDL,4,4,2,0,0,4
2022,ECS,TIB,25,25,25,16,25,25
2021,CUP,BSB,181,0,145,23,173,176
2019,De Gruyter,SUB Göttingen,10,10,0,3,10,10
2021,Thieme 1,ZB MED,4,0,3,3,4,4
2017,Karger,BSB,14,14,5,0,14,10
2021,ECS,TIB,58,58,58,42,55,58
2020,Portland Press,TIB,19,0,18,0,19,19
2019,Portland Press,TIB,10,0,10,0,10,10
2020,De Gruyter,SUB Göttingen,10,10,2,1,8,7
2019,BMJ,BSB,15,0,14,11,6,15
2018,Karger,BSB,13,13,8,0,13,9
2019,Thieme 1,ZB MED,2,0,0,0,2,1
2018,TaylorFrancis,ZBW,56,44,21,25,0,55
2022,BMJ,BSB,42,0,42,29,36,42
2017,De Gruyter,ZBW,7,7,0,0,1,7
2018,Nature,MPDL,8,8,3,0,3,8
2021,De Gruyter,SUB Göttingen,18,18,3,0,13,12
2022,Thieme 1,ZB MED,5,0,5,4,5,1
2017,CUP,BSB,18,0,5,0,18,18
2022,De Gruyter,ZBW,6,6,3,0,5,5
2018,CUP,BSB,19,0,6,0,19,19
2019,Nature,MPDL,4,4,4,2,1,4
2021,Thieme 2,ZB MED,18,0,11,9,16,18
2020,De Gruyter,ZBW,10,10,3,2,9,10
2022,Thieme 2,ZB MED,5,0,1,1,5,4
2022,Portland Press,TIB,16,0,14,0,16,15
2017,De Gruyter,SUB Göttingen,7,7,0,0,7,7
2019,Thieme 2,ZB MED,9,0,0,1,9,0
2017,Thieme 2,ZB MED,2,0,0,1,2,1
2020,Thieme 2,ZB MED,2,0,0,2,2,2
2020,Thieme 1,ZB MED,8,0,1,5,8,6
2018,Thieme 2,ZB MED,2,0,0,0,2,0
2018,De Gruyter,ZBW,9,9,0,0,6,8
2018,Portland Press,TIB,9,0,5,0,9,9
2017,Portland Press,TIB,3,0,0,0,3,3
2017,AIP,TIB,3,0,3,2,0,3
2018,Thieme 1,ZB MED,1,0,0,0,1,0
2019,AIP,TIB,1,0,0,1,0,1
2018,AIP,TIB,1,0,0,1,0,1
