cr_year,esac_publisher,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2018,Company of Biologists,Global,1649,121,0.07337780473013948,3,3,1
2018,EDP Sciences,Global,4370,420,0.09610983981693363,24,15,0.625
2018,Edward Elgar Publishing,Global,213,0,0,10,0,0
2018,Elsevier,Global,511443,16900,0.03304376049725971,1940,1514,0.7804123711340206
2018,Emerald,Global,13957,63,0.0045138640108905925,316,1,0.0031645569620253164
2018,European Respiratory Society,Global,584,3,0.005136986301369863,1,1,1
2018,Future Science Group,Global,2157,218,0.10106629578117757,19,18,0.9473684210526315
2018,Hogrefe,Global,941,20,0.021253985122210415,28,12,0.42857142857142855
2018,IEEE,Global,48638,509,0.010465068464986224,191,98,0.5130890052356021
2018,IOP Publishing,Global,27541,1840,0.06680948404197379,74,55,0.7432432432432432
2018,IOS Press,Global,4670,318,0.06809421841541756,68,28,0.4117647058823529
2018,IWA Publishing,Global,72,0,0,1,0,0
2018,Inter-Research Science Publisher,Global,610,0,0,4,0,0
2018,John Benjamins Publishing,Global,1384,30,0.02167630057803468,73,6,0.0821917808219178
2018,Karger,Global,5090,220,0.043222003929273084,65,47,0.7230769230769231
2018,"Mary Ann Liebert, Inc.",Global,6831,0,0,66,0,0
2018,Microbiology Society,Global,1185,92,0.07763713080168777,4,4,1
2018,National Academy of Sciences,Global,4014,1166,0.29048330842052816,1,1,1
2018,Optica,Global,3854,4,0.0010378827192527244,5,2,0.4
2018,Oxford University Press,Global,72663,3606,0.049626357293257914,399,281,0.7042606516290727
2018,Portland Press,Global,724,153,0.21132596685082872,5,5,1
2018,Radiological Society of North America,Global,571,0,0,1,0,0
2018,Rockefeller University Press,Global,546,83,0.152014652014652,2,2,1
2018,Royal College of General Practitioners,Global,495,0,0,1,0,0
2018,Royal Irish Academy,Global,183,0,0,6,0,0
2018,Royal Society of Chemistry,Global,33104,2107,0.06364789753504108,42,42,1
2018,SPIE,Global,1756,0,0,8,0,0
2018,Sage,Global,60353,308,0.005103308866170696,972,131,0.13477366255144033
2018,Society for Neuroscience,Global,893,0,0,1,0,0
2018,Springer Nature,Global,281511,19651,0.06980544277133043,2362,1735,0.7345469940728196
2018,Taylor and Francis,Global,124076,2912,0.023469486443792514,2320,990,0.4267241379310345
2018,The Electrochemical Society,Global,7732,651,0.08419555095706156,4,2,0.5
2018,The Geological Society of London,Global,612,57,0.09313725490196079,7,6,0.8571428571428571
2018,The Royal Society,Global,2244,0,0,8,0,0
2018,Thieme,Global,13123,121,0.009220452640402346,82,21,0.25609756097560976
2018,Trans Tech Publications,Global,5583,171,0.03062869425040301,12,6,0.5
2018,Walter de Gruyter,Global,18132,467,0.025755570262519303,362,116,0.32044198895027626
2018,White Horse Press,Global,124,0,0,3,0,0
2018,Wiley,Global,199491,11654,0.05841867552922187,1391,1077,0.7742631200575126
2018,Wolters Kluwer Health,Global,73350,969,0.013210633946830266,279,160,0.5734767025089605
2018,World Scientific,Global,8142,0,0,103,0,0
2019,AIP Publishing,Global,15812,0,0,26,0,0
2019,Akadémiai Kiadó,Global,982,144,0.14663951120162932,23,19,0.8260869565217391
2019,American Chemical Society,Global,60088,78,0.0012980961256823325,62,23,0.3709677419354839
2019,American Meteorological Society,Global,2054,33,0.016066212268743916,10,5,0.5
2019,American Physical Society,Global,19365,2886,0.1490317583268784,10,9,0.9
2019,American Physiological Society,Global,2482,0,0,12,0,0
2019,American Psychological Association,Global,6930,69,0.009956709956709957,101,27,0.26732673267326734
2019,Association for Computing Machinery,Global,5198,43,0.008272412466333205,86,6,0.06976744186046512
2019,BMJ Publishing,Global,10337,360,0.03482635193963432,42,39,0.9285714285714286
2019,Bentham Science Publishers,Global,6897,1322,0.1916775409598376,100,98,0.98
2019,Bioscientifica,Global,634,58,0.0914826498422713,5,5,1
2019,Brill,Global,7044,248,0.03520726859738785,297,75,0.25252525252525254
2019,Bristol University Press,Global,482,34,0.07053941908713693,14,11,0.7857142857142857
2019,CSIRO,Global,1701,0,0,15,0,0
2019,Cambridge University Press,Global,28366,1343,0.04734541352323204,362,234,0.6464088397790055
2019,Canadian Science Publishing,Global,2257,0,0,20,0,0
2019,Cold Spring Harbor Laboratory Press,Global,311,0,0,2,0,0
2019,Company of Biologists,Global,1547,110,0.07110536522301228,3,2,0.6666666666666666
2019,EDP Sciences,Global,4592,838,0.18249128919860627,24,19,0.7916666666666666
2019,Edward Elgar Publishing,Global,196,19,0.09693877551020408,10,5,0.5
