cat,type,esac_publisher,name,value,prop
de,Other,Company of Biologists,Open Access Articles with Creative Commons License,101,8.791553145373989e-4
de,Other,SPIE,Total Articles,245,5.405262298626401e-4
de,Other,SPIE,Open Access Articles with Creative Commons License,0,0
de,Other,Microbiology Society,Total Articles,351,7.743865578848436e-4
de,Other,Microbiology Society,Open Access Articles with Creative Commons License,23,2.002036854887146e-4
de,Other,Hogrefe,Total Articles,2311,0.005098596396785965
de,Other,Hogrefe,Open Access Articles with Creative Commons License,639,0.005562180653360375
de,Other,Akadémiai Kiadó,Total Articles,63,1.3899245910753603e-4
de,Other,Akadémiai Kiadó,Open Access Articles with Creative Commons License,7,6.0931556453087055e-5
de,Other,Society for Neuroscience,Total Articles,335,7.390868857305488e-4
de,Other,Society for Neuroscience,Open Access Articles with Creative Commons License,0,0
de,Other,Portland Press,Total Articles,232,5.118452462372756e-4
de,Other,Portland Press,Open Access Articles with Creative Commons License,94,8.182237580843119e-4
de,Other,Rockefeller University Press,Total Articles,290,6.398065577965944e-4
de,Other,Rockefeller University Press,Open Access Articles with Creative Commons License,69,6.006110564661439e-4
de,Other,Radiological Society of North America,Total Articles,161,3.552029510525921e-4
de,Other,Radiological Society of North America,Open Access Articles with Creative Commons License,0,0
de,Other,Bioscientifica,Total Articles,201,4.434521314383293e-4
de,Other,Bioscientifica,Open Access Articles with Creative Commons License,37,3.220667983948887e-4
de,Other,The Geological Society of London,Total Articles,101,2.2282918047398636e-4
de,Other,The Geological Society of London,Open Access Articles with Creative Commons License,9,7.83405725825405e-5
de,Other,European Respiratory Society,Total Articles,222,4.897829511408412e-4
de,Other,European Respiratory Society,Open Access Articles with Creative Commons License,61,5.3097499194833e-4
de,Other,Inter-Research Science Publisher,Total Articles,32,7.059934430858973e-5
de,Other,Inter-Research Science Publisher,Open Access Articles with Creative Commons License,8,6.963606451781378e-5
de,Other,Bristol University Press,Total Articles,113,2.4930393458970747e-4
de,Other,Bristol University Press,Open Access Articles with Creative Commons License,17,1.4797663710035426e-4
de,Other,Royal College of General Practitioners,Total Articles,10,2.206229509643429e-5
de,Other,Royal College of General Practitioners,Open Access Articles with Creative Commons License,4,3.481803225890689e-5
de,Other,Cold Spring Harbor Laboratory Press,Total Articles,123,2.713662296861418e-4
de,Other,Cold Spring Harbor Laboratory Press,Open Access Articles with Creative Commons License,0,0
de,Other,Edward Elgar Publishing,Total Articles,15,3.309344264465144e-5
de,Other,Edward Elgar Publishing,Open Access Articles with Creative Commons License,2,1.7409016129453444e-5
de,Other,Royal Irish Academy,Total Articles,0,0
de,Other,Royal Irish Academy,Open Access Articles with Creative Commons License,0,0
de,Other,White Horse Press,Total Articles,3,6.6186885289302875e-6
de,Other,White Horse Press,Open Access Articles with Creative Commons License,0,0
