cat,type,esac_publisher,name,value,prop
global,Other,John Benjamins Publishing,Total Articles,12640,8.732150472361673e-4
global,Other,John Benjamins Publishing,Open Access Articles with Creative Commons License,1402,9.380555486788605e-4
global,Other,Company of Biologists,Total Articles,11963,8.264455387726479e-4
global,Other,Company of Biologists,Open Access Articles with Creative Commons License,1867,0.0012491795359368277
global,Other,SPIE,Total Articles,11649,8.047533295295976e-4
global,Other,SPIE,Open Access Articles with Creative Commons License,21,1.4050760714875941e-5
global,Other,Microbiology Society,Total Articles,8808,6.084871943082406e-4
global,Other,Microbiology Society,Open Access Articles with Creative Commons License,1730,0.0011575150493683514
global,Other,Akadémiai Kiadó,Total Articles,8425,5.820282257092334e-4
global,Other,Akadémiai Kiadó,Open Access Articles with Creative Commons License,2808,0.001878787432731983
global,Other,Hogrefe,Total Articles,7616,5.261396993473616e-4
global,Other,Hogrefe,Open Access Articles with Creative Commons License,1154,7.721227554746112e-4
global,Other,Society for Neuroscience,Total Articles,6581,4.5463830900800765e-4
global,Other,Society for Neuroscience,Open Access Articles with Creative Commons License,0,0
global,Other,Radiological Society of North America,Total Articles,5499,3.7988999562908895e-4
global,Other,Radiological Society of North America,Open Access Articles with Creative Commons License,0,0
global,Other,Portland Press,Total Articles,5363,3.704946438550289e-4
global,Other,Portland Press,Open Access Articles with Creative Commons License,2503,0.0016747168604444992
global,Other,Bioscientifica,Total Articles,4886,3.375418291768919e-4
global,Other,Bioscientifica,Open Access Articles with Creative Commons License,682,4.5631518131168534e-4
global,Other,The Geological Society of London,Total Articles,4498,3.1073744323325e-4
global,Other,The Geological Society of London,Open Access Articles with Creative Commons License,732,4.897693734899614e-4
global,Other,Rockefeller University Press,Total Articles,4304,2.973352502614291e-4
global,Other,Rockefeller University Press,Open Access Articles with Creative Commons License,925,6.189025552981069e-4
global,Other,European Respiratory Society,Total Articles,4194,2.897360686794688e-4
global,Other,European Respiratory Society,Open Access Articles with Creative Commons License,846,5.660449316564309e-4
global,Other,Inter-Research Science Publisher,Total Articles,4083,2.820678036285816e-4
global,Other,Inter-Research Science Publisher,Open Access Articles with Creative Commons License,600,4.014503061393126e-4
global,Other,Bristol University Press,Total Articles,4076,2.815842193460932e-4
global,Other,Bristol University Press,Open Access Articles with Creative Commons License,528,3.532762694025951e-4
global,Other,Royal College of General Practitioners,Total Articles,3625,2.504275748600559e-4
global,Other,Royal College of General Practitioners,Open Access Articles with Creative Commons License,530,3.546144370897261e-4
global,Other,Cold Spring Harbor Laboratory Press,Total Articles,2444,1.6883999805737286e-4
global,Other,Cold Spring Harbor Laboratory Press,Open Access Articles with Creative Commons License,0,0
global,Other,Edward Elgar Publishing,Total Articles,1470,1.015526993225606e-4
global,Other,Edward Elgar Publishing,Open Access Articles with Creative Commons License,70,4.683586904958647e-5
global,Other,Royal Irish Academy,Total Articles,1223,8.448908249761334e-5
global,Other,Royal Irish Academy,Open Access Articles with Creative Commons License,23,1.5388928402006984e-5
global,Other,White Horse Press,Total Articles,1086,7.502464725462639e-5
global,Other,White Horse Press,Open Access Articles with Creative Commons License,9,6.021754592089689e-6
global,Other,IWA Publishing,Total Articles,498,3.440356752560216e-5
global,Other,IWA Publishing,Open Access Articles with Creative Commons License,226,1.5121294864580776e-4
