cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2017,Sage,de,CC BY-SA,0,0,0
2017,Taylor and Francis,de,CC BY-SA,0,0,0
2017,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2018,American Chemical Society,de,CC BY-SA,0,0,0
2018,American Physical Society,de,CC BY-SA,0,0,0
2018,Cambridge University Press,de,CC BY-SA,0,0,0
2018,IEEE,de,CC BY-SA,0,0,0
2018,IOP Publishing,de,CC BY-SA,0,0,0
2018,Oxford University Press,de,CC BY-SA,0,0,0
2018,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2018,Sage,de,CC BY-SA,0,0,0
2018,Taylor and Francis,de,CC BY-SA,0,0,0
2018,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2019,American Chemical Society,de,CC BY-SA,0,0,0
2019,American Physical Society,de,CC BY-SA,0,0,0
2019,Cambridge University Press,de,CC BY-SA,0,0,0
2019,IEEE,de,CC BY-SA,0,0,0
2019,IOP Publishing,de,CC BY-SA,0,0,0
2019,Oxford University Press,de,CC BY-SA,0,0,0
2019,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2019,Sage,de,CC BY-SA,0,0,0
2019,Taylor and Francis,de,CC BY-SA,0,0,0
2019,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2020,American Chemical Society,de,CC BY-SA,0,0,0
2020,American Physical Society,de,CC BY-SA,0,0,0
2020,Cambridge University Press,de,CC BY-SA,0,0,0
2020,IEEE,de,CC BY-SA,0,0,0
2020,IOP Publishing,de,CC BY-SA,0,0,0
2020,Oxford University Press,de,CC BY-SA,0,0,0
2020,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2020,Sage,de,CC BY-SA,0,0,0
2020,Taylor and Francis,de,CC BY-SA,0,0,0
2020,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2021,American Chemical Society,de,CC BY-SA,0,0,0
2021,American Physical Society,de,CC BY-SA,0,0,0
2021,Cambridge University Press,de,CC BY-SA,0,0,0
2021,IEEE,de,CC BY-SA,0,0,0
2021,IOP Publishing,de,CC BY-SA,0,0,0
2021,Oxford University Press,de,CC BY-SA,0,0,0
2021,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2021,Sage,de,CC BY-SA,0,0,0
2021,Taylor and Francis,de,CC BY-SA,0,0,0
2021,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2022,American Chemical Society,de,CC BY-SA,0,0,0
2022,American Physical Society,de,CC BY-SA,0,0,0
2022,Cambridge University Press,de,CC BY-SA,4,774,0.00516795865633075
2022,IEEE,de,CC BY-SA,0,0,0
2022,IOP Publishing,de,CC BY-SA,0,0,0
2022,Oxford University Press,de,CC BY-SA,0,0,0
2022,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2022,Sage,de,CC BY-SA,0,0,0
2022,Taylor and Francis,de,CC BY-SA,0,0,0
2022,Wolters Kluwer Health,de,CC BY-SA,0,0,0
2023,American Chemical Society,de,CC BY-SA,0,0,0
2023,American Physical Society,de,CC BY-SA,0,0,0
2023,Cambridge University Press,de,CC BY-SA,5,797,0.006273525721455458
2023,IEEE,de,CC BY-SA,0,0,0
2023,IOP Publishing,de,CC BY-SA,0,0,0
2023,Oxford University Press,de,CC BY-SA,0,0,0
2023,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2023,Sage,de,CC BY-SA,0,0,0
2023,Taylor and Francis,de,CC BY-SA,0,0,0
2023,Wolters Kluwer Health,de,CC BY-SA,1,1021,9.794319294809011e-4
2024,American Chemical Society,de,CC BY-SA,0,0,0
2024,American Physical Society,de,CC BY-SA,0,0,0
2024,Cambridge University Press,de,CC BY-SA,1,170,0.0058823529411764705
2024,IEEE,de,CC BY-SA,0,0,0
2024,IOP Publishing,de,CC BY-SA,0,0,0
2024,Oxford University Press,de,CC BY-SA,0,0,0
2024,Royal Society of Chemistry,de,CC BY-SA,0,0,0
2024,Sage,de,CC BY-SA,0,0,0
2024,Taylor and Francis,de,CC BY-SA,0,0,0
2024,Wolters Kluwer Health,de,CC BY-SA,1,455,0.002197802197802198
2017,American Chemical Society,de,CC BY-NC,0,0,0
2017,American Physical Society,de,CC BY-NC,0,0,0
2017,Cambridge University Press,de,CC BY-NC,0,0,0
2017,IEEE,de,CC BY-NC,0,0,0
2017,IOP Publishing,de,CC BY-NC,0,0,0
2017,Oxford University Press,de,CC BY-NC,31,3044,0.010183968462549276
2017,Royal Society of Chemistry,de,CC BY-NC,15,1469,0.010211027910142955
2017,Sage,de,CC BY-NC,1,1424,7.022471910112359e-4
2017,Taylor and Francis,de,CC BY-NC,4,2992,0.001336898395721925
2017,Wolters Kluwer Health,de,CC BY-NC,0,0,0
2018,American Chemical Society,de,CC BY-NC,0,0,0
2018,American Physical Society,de,CC BY-NC,0,0,0
2018,Cambridge University Press,de,CC BY-NC,1,760,0.0013157894736842105
2018,IEEE,de,CC BY-NC,0,0,0
2018,IOP Publishing,de,CC BY-NC,0,0,0
2018,Oxford University Press,de,CC BY-NC,104,3179,0.03271469015413652
2018,Royal Society of Chemistry,de,CC BY-NC,83,1369,0.0606281957633309
2018,Sage,de,CC BY-NC,7,1438,0.004867872044506259
2018,Taylor and Francis,de,CC BY-NC,4,2819,0.001418942887548776
2018,Wolters Kluwer Health,de,CC BY-NC,0,0,0
2019,American Chemical Society,de,CC BY-NC,0,0,0
2019,American Physical Society,de,CC BY-NC,0,0,0
2019,Cambridge University Press,de,CC BY-NC,1,648,0.0015432098765432098
2019,IEEE,de,CC BY-NC,0,0,0
2019,IOP Publishing,de,CC BY-NC,0,0,0
2019,Oxford University Press,de,CC BY-NC,156,2136,0.07303370786516854
2019,Royal Society of Chemistry,de,CC BY-NC,190,1365,0.1391941391941392
2019,Sage,de,CC BY-NC,77,1475,0.05220338983050848
2019,Taylor and Francis,de,CC BY-NC,4,3076,0.0013003901170351106
2019,Wolters Kluwer Health,de,CC BY-NC,1,1448,6.906077348066298e-4
2020,American Chemical Society,de,CC BY-NC,2,2687,7.44324525493115e-4
2020,American Physical Society,de,CC BY-NC,0,0,0
2020,Cambridge University Press,de,CC BY-NC,1,759,0.0013175230566534915
2020,IEEE,de,CC BY-NC,0,0,0
2020,IOP Publishing,de,CC BY-NC,0,0,0
2020,Oxford University Press,de,CC BY-NC,157,2279,0.06888986397542782
2020,Royal Society of Chemistry,de,CC BY-NC,186,1294,0.1437403400309119
2020,Sage,de,CC BY-NC,197,1538,0.12808842652795838
2020,Taylor and Francis,de,CC BY-NC,13,3018,0.004307488402915839
2020,Wolters Kluwer Health,de,CC BY-NC,1,1444,6.925207756232687e-4
2021,American Chemical Society,de,CC BY-NC,2,2684,7.451564828614009e-4
2021,American Physical Society,de,CC BY-NC,0,0,0
2021,Cambridge University Press,de,CC BY-NC,0,0,0
2021,IEEE,de,CC BY-NC,0,0,0
2021,IOP Publishing,de,CC BY-NC,0,0,0
2021,Oxford University Press,de,CC BY-NC,170,2273,0.07479102507699076
2021,Royal Society of Chemistry,de,CC BY-NC,222,1207,0.18392709196354598
2021,Sage,de,CC BY-NC,328,1521,0.21564760026298488
2021,Taylor and Francis,de,CC BY-NC,11,3059,0.0035959463877084014
2021,Wolters Kluwer Health,de,CC BY-NC,3,1201,0.002497918401332223
2022,American Chemical Society,de,CC BY-NC,0,0,0
2022,American Physical Society,de,CC BY-NC,0,0,0
2022,Cambridge University Press,de,CC BY-NC,9,774,0.011627906976744186
2022,IEEE,de,CC BY-NC,0,0,0
2022,IOP Publishing,de,CC BY-NC,0,0,0
2022,Oxford University Press,de,CC BY-NC,180,2029,0.08871365204534254
2022,Royal Society of Chemistry,de,CC BY-NC,161,1093,0.1473010064043916
2022,Sage,de,CC BY-NC,345,1555,0.22186495176848875
2022,Taylor and Francis,de,CC BY-NC,15,2783,0.0053898670499461015
2022,Wolters Kluwer Health,de,CC BY-NC,4,1080,0.003703703703703704
2023,American Chemical Society,de,CC BY-NC,1,2308,4.332755632582322e-4
2023,American Physical Society,de,CC BY-NC,0,0,0
2023,Cambridge University Press,de,CC BY-NC,14,797,0.01756587202007528
2023,IEEE,de,CC BY-NC,0,0,0
2023,IOP Publishing,de,CC BY-NC,0,0,0
2023,Oxford University Press,de,CC BY-NC,182,1898,0.0958904109589041
2023,Royal Society of Chemistry,de,CC BY-NC,118,1015,0.11625615763546798
2023,Sage,de,CC BY-NC,381,1502,0.2536617842876165
2023,Taylor and Francis,de,CC BY-NC,19,2543,0.007471490365709791
2023,Wolters Kluwer Health,de,CC BY-NC,1,1021,9.794319294809011e-4
2024,American Chemical Society,de,CC BY-NC,0,0,0
2024,American Physical Society,de,CC BY-NC,0,0,0
2024,Cambridge University Press,de,CC BY-NC,2,170,0.011764705882352941
2024,IEEE,de,CC BY-NC,0,0,0
2024,IOP Publishing,de,CC BY-NC,0,0,0
2024,Oxford University Press,de,CC BY-NC,43,758,0.05672823218997362
2024,Royal Society of Chemistry,de,CC BY-NC,50,489,0.10224948875255624
2024,Sage,de,CC BY-NC,162,622,0.2604501607717042
2024,Taylor and Francis,de,CC BY-NC,16,1085,0.014746543778801843
2024,Wolters Kluwer Health,de,CC BY-NC,3,455,0.006593406593406593
2017,American Chemical Society,de,CC BY-NC-SA,0,0,0
2017,American Physical Society,de,CC BY-NC-SA,0,0,0
2017,Cambridge University Press,de,CC BY-NC-SA,1,703,0.001422475106685633
2017,IEEE,de,CC BY-NC-SA,0,0,0
2017,IOP Publishing,de,CC BY-NC-SA,0,0,0
2017,Oxford University Press,de,CC BY-NC-SA,5,3044,0.0016425755584756898
2017,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2017,Sage,de,CC BY-NC-SA,0,0,0
2017,Taylor and Francis,de,CC BY-NC-SA,0,0,0
2017,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2018,American Chemical Society,de,CC BY-NC-SA,0,0,0
2018,American Physical Society,de,CC BY-NC-SA,0,0,0
2018,Cambridge University Press,de,CC BY-NC-SA,1,760,0.0013157894736842105
2018,IEEE,de,CC BY-NC-SA,0,0,0
2018,IOP Publishing,de,CC BY-NC-SA,0,0,0
2018,Oxford University Press,de,CC BY-NC-SA,0,0,0
2018,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2018,Sage,de,CC BY-NC-SA,0,0,0
2018,Taylor and Francis,de,CC BY-NC-SA,0,0,0
2018,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2019,American Chemical Society,de,CC BY-NC-SA,0,0,0
2019,American Physical Society,de,CC BY-NC-SA,0,0,0
2019,Cambridge University Press,de,CC BY-NC-SA,8,648,0.012345679012345678
2019,IEEE,de,CC BY-NC-SA,0,0,0
2019,IOP Publishing,de,CC BY-NC-SA,0,0,0
2019,Oxford University Press,de,CC BY-NC-SA,0,0,0
2019,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2019,Sage,de,CC BY-NC-SA,0,0,0
2019,Taylor and Francis,de,CC BY-NC-SA,0,0,0
2019,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2020,American Chemical Society,de,CC BY-NC-SA,0,0,0
2020,American Physical Society,de,CC BY-NC-SA,0,0,0
2020,Cambridge University Press,de,CC BY-NC-SA,22,759,0.028985507246376812
2020,IEEE,de,CC BY-NC-SA,0,0,0
2020,IOP Publishing,de,CC BY-NC-SA,0,0,0
2020,Oxford University Press,de,CC BY-NC-SA,1,2279,4.3878894251864854e-4
2020,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2020,Sage,de,CC BY-NC-SA,0,0,0
2020,Taylor and Francis,de,CC BY-NC-SA,1,3018,3.313452617627568e-4
2020,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2021,American Chemical Society,de,CC BY-NC-SA,0,0,0
2021,American Physical Society,de,CC BY-NC-SA,0,0,0
2021,Cambridge University Press,de,CC BY-NC-SA,14,785,0.017834394904458598
2021,IEEE,de,CC BY-NC-SA,0,0,0
2021,IOP Publishing,de,CC BY-NC-SA,0,0,0
2021,Oxford University Press,de,CC BY-NC-SA,1,2273,4.399472063352398e-4
2021,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2021,Sage,de,CC BY-NC-SA,0,0,0
2021,Taylor and Francis,de,CC BY-NC-SA,1,3059,3.2690421706440013e-4
2021,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2022,American Chemical Society,de,CC BY-NC-SA,0,0,0
2022,American Physical Society,de,CC BY-NC-SA,0,0,0
2022,Cambridge University Press,de,CC BY-NC-SA,21,774,0.027131782945736434
2022,IEEE,de,CC BY-NC-SA,0,0,0
2022,IOP Publishing,de,CC BY-NC-SA,0,0,0
2022,Oxford University Press,de,CC BY-NC-SA,0,0,0
2022,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2022,Sage,de,CC BY-NC-SA,1,1555,6.430868167202572e-4
2022,Taylor and Francis,de,CC BY-NC-SA,1,2783,3.5932446999640676e-4
2022,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
2023,American Chemical Society,de,CC BY-NC-SA,0,0,0
2023,American Physical Society,de,CC BY-NC-SA,0,0,0
2023,Cambridge University Press,de,CC BY-NC-SA,18,797,0.02258469259723965
2023,IEEE,de,CC BY-NC-SA,0,0,0
2023,IOP Publishing,de,CC BY-NC-SA,0,0,0
2023,Oxford University Press,de,CC BY-NC-SA,0,0,0
2023,Royal Society of Chemistry,de,CC BY-NC-SA,0,0,0
2023,Sage,de,CC BY-NC-SA,0,0,0
2023,Taylor and Francis,de,CC BY-NC-SA,0,0,0
2023,Wolters Kluwer Health,de,CC BY-NC-SA,0,0,0
