esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Elsevier,Germany,TDM Support,1,1,1,1,1,0.9993067590987869,0.9977938859123857,0.9993347525279404,0.9986376021798365
Elsevier,Germany,ORCID,0.21436343852013057,0.336986301369863,0.4205168363351605,0.34803625377643505,0.4974338728780103,0.517157712305026,0.6630948629057674,0.660457690260777,0.6403269754768393
Elsevier,Germany,Funder info,0.5843307943416758,0.6840182648401827,0.7243539545810493,0.7534743202416918,0.6715357283853138,0.4506065857885615,0.47589032461393005,0.5537519957424162,0.4938692098092643
Elsevier,Germany,Open Abstracts,0,0,7.830853563038371e-4,0.0030211480362537764,0.002368732727990525,0.0020797227036395147,0.0028364323983611725,0.0010643959552953698,0.0010217983651226157
Elsevier,Germany,Open Citations,0.9956474428726877,0.9981735159817352,0.9960845732184808,0.9993957703927493,0.9976312672720095,0.9951473136915078,0.9987393633785061,0.9988025545502927,0.9918256130790191
Elsevier,Global,TDM Support,1,1,1,1,0.9999142881631954,0.999625906769461,0.9985405042364125,0.9984284056540847,0.9987715673683623
Elsevier,Global,ORCID,0.22286589426022108,0.34075322561897015,0.4074074074074074,0.33820344460105195,0.4837576069255164,0.4857031326241827,0.6252066542674106,0.631625595058615,0.6570886146630186
Elsevier,Global,Funder info,0.545478758822746,0.644600720678833,0.7232178414974114,0.7264601739489154,0.6470815119568012,0.4357372889626232,0.4300216986980781,0.5477189039043154,0.512535596627394
Elsevier,Global,Open Abstracts,0.00126514848848049,0.001162385214460072,0.0013440860215053765,0.0057066244972326305,0.004028456329819148,0.002618652613773137,0.0032031411448646416,0.0028873477517977393,0.0016304651292646155
Elsevier,Global,Open Citations,0.9786256492209349,0.9819249099151459,0.9825766626841895,0.9931933033105298,0.9935716122396503,0.9932825867733646,0.9952598677412688,0.9973045329532267,0.9931766151097213
Springer Nature,Germany,TDM Support,1,0.9964253798033958,0.9976580796252927,0.9994153414405987,1,1,0.9997995991983968,0.9982827090265107,0.9951117318435754
Springer Nature,Germany,ORCID,0.35858585858585856,0.5031277926720286,0.5886026541764247,0.5706267539756782,0.6795993864477127,0.6980983348113114,0.6619238476953908,0.6545025222711173,0.6546787709497207
Springer Nature,Germany,Funder info,0.4696969696969697,0.5058087578194816,0.4886807181889149,0.7558465855940131,0.8709735631146801,0.890038427431274,0.8940881763527054,0.8731351293334765,0.8240223463687151
Springer Nature,Germany,Open Abstracts,0.05656565656565657,0.06523681858802502,0.366120218579235,0.883068288119738,0.8676351168456194,0.872105626170066,0.8806613226452906,0.8788236556831598,0.8383379888268156
Springer Nature,Germany,Open Citations,0.9707070707070707,0.9794459338695264,0.9695550351288056,0.9460944808231992,0.9108544617883244,0.9332939205833087,0.9370741482965932,0.9431147365031662,0.9528631284916201
Springer Nature,Global,TDM Support,0.9993775111765039,0.9988059391548126,0.9989254846998364,0.9981267283161369,0.999868729078697,0.9998638635523833,0.9996603952998709,0.9965790152451027,0.9945273172308687
Springer Nature,Global,ORCID,0.37360647388376433,0.5380541999792338,0.6629292221443588,0.6775593946061669,0.7675629553460083,0.775588790135942,0.7376214086802961,0.7044785034549231,0.6680829446266107
Springer Nature,Global,Funder info,0.5652198517344802,0.5758488215138615,0.6213034337771549,0.7085724480390116,0.7042247358172709,0.711001769773819,0.7359743258846703,0.7314119707315748,0.7367108483812866
Springer Nature,Global,Open Abstracts,0.047535510157885805,0.056951510746547605,0.34977808923148795,0.9194195831227142,0.9134924628612685,0.9065909488710399,0.9145554574475311,0.8836322169881758,0.8160762942779292
Springer Nature,Global,Open Citations,0.9840416501612812,0.9764302772297788,0.9717355758000468,0.9674110195950165,0.9553678867569518,0.9548026993912756,0.9568871833186171,0.9591110869771798,0.9647623885835681
Wiley,Germany,TDM Support,1,0.9968652037617555,0.999722145040289,0.9996323529411765,0.9996741255702802,0.9983099323972959,0.30558874286472854,0.011643940554619274,0.00993280747881975
Wiley,Germany,ORCID,0.6476578411405295,0.7241379310344828,0.7457627118644068,0.8455882352941176,0.812622202911145,0.8671346853874154,0.8340634541351387,0.9301363566722843,0.8825591586327782
Wiley,Germany,Funder info,0.7678207739307535,0.7633228840125392,0.567379827729925,0.5962009803921569,0.4948946339343906,0.5377015080603225,0.5276782158502589,0.5612072927838211,0.5413380075956763
Wiley,Germany,Open Abstracts,0.9226069246435845,0.95141065830721006,0.9655459849958322,0.9506127450980392,0.9540517054095156,0.9551482059282371,0.9753086419753086,0.9681323732189367,0.9666958808063103
Wiley,Germany,Open Citations,0.9959266802443992,0.9984326018808778,0.991664351208669,0.9855392156862746,0.9852270258527047,0.983229329173167,0.9888490641178813,0.9923395127930137,0.9926964650891031
Wiley,Global,TDM Support,0.9954034729315628,0.99721059972106,0.9987285056914507,0.9972266922313144,0.998761251961351,0.9956167688750377,0.27297665641599106,0.012084940811817851,0.01207653251484467
Wiley,Global,ORCID,0.5458375893769152,0.690655509065551,0.7609590699927343,0.8439757592357996,0.8533872876923501,0.8735297074494822,0.8784945485043333,0.9124707356481023,0.9034451105820258
Wiley,Global,Funder info,0.7296986721144024,0.7302649930264993,0.6172196657786388,0.5655151162392578,0.48228590304732016,0.48432693274354077,0.4800461280402572,0.49576285158439676,0.47959037319640857
Wiley,Global,Open Abstracts,0.8647854954034729,0.897350069735007,0.9158391862436426,0.9097476632314171,0.9242987309714538,0.9321001306926712,0.9504997204361196,0.9543970719161143,0.9519520380941453
