cr_year,issn_l,collection,articles,oa_articles
2017,0033-3549,global,128,0
2017,0033-6882,de,0,0
2017,0033-6882,global,56,0
2017,0034-3552,de,0,0
2017,0034-3552,global,31,0
2017,0034-5237,de,0,0
2017,0034-5237,global,26,0
2017,0034-6373,de,0,0
2017,0034-6373,global,123,0
2017,0034-6446,de,0,0
2017,0034-6446,global,22,0
2017,0034-6543,de,0,0
2017,0034-6543,global,30,0
2017,0036-9330,de,0,0
2017,0036-9330,global,42,0
2017,0037-5497,de,1,0
2017,0037-5497,global,118,0
2017,0037-7686,de,2,0
2017,0037-7686,global,39,0
2017,0038-0229,de,0,0
2017,0038-0229,global,53,0
2017,0038-0261,de,3,0
2017,0038-0261,global,112,0
2017,0038-0385,de,1,0
2017,0038-0385,global,93,0
2017,0038-0407,de,0,0
2017,0038-0407,global,22,0
2017,0039-3207,de,0,0
2017,0039-3207,global,19,0
2017,0040-0599,de,0,0
2017,0040-0599,global,42,0
2017,0040-5175,de,5,0
2017,0040-5175,global,217,0
2017,0040-5639,de,0,0
2017,0040-5639,global,233,0
2017,0040-571X,de,1,0
2017,0040-571X,global,188,0
2017,0040-5736,de,3,0
2017,0040-5736,global,70,0
2017,0042-0859,de,0,0
2017,0042-0859,global,48,0
2017,0042-0980,de,6,0
2017,0042-0980,global,183,0
2017,0043-8200,de,0,0
2017,0043-8200,global,21,0
2017,0044-118X,de,0,0
2017,0044-118X,global,42,0
2017,0047-1178,de,2,0
2017,0047-1178,global,32,0
2017,0047-2379,de,0,0
2017,0047-2379,global,8,0
2017,0047-2395,de,0,0
2017,0047-2395,global,38,0
2017,0047-2441,de,1,0
2017,0047-2441,global,82,0
2017,0047-2816,de,1,0
2017,0047-2816,global,24,0
2017,0047-2875,de,0,0
2017,0047-2875,global,92,0
2017,0048-3931,de,0,0
2017,0048-3931,global,27,0
2017,0049-0857,de,0,0
2017,0049-0857,global,75,0
2017,0049-1241,de,5,0
2017,0049-1241,global,38,1
2017,0049-4755,de,1,0
2017,0049-4755,global,105,0
2017,0067-205X,de,0,0
2017,0067-205X,global,47,0
2017,0069-4770,de,0,0
2017,0069-4770,global,24,0
2017,0073-2753,de,0,0
2017,0073-2753,global,26,0
2017,0075-4242,de,0,0
2017,0075-4242,global,20,0
