cr_year,cc,cc_total,jn_all,prop
2017,CC BY,39,58807,6.631863553658578e-4
2017,CC BY-SA,0,NA,0
2017,CC BY-NC,111,58807,0.0018875303960412875
2017,CC BY-NC-SA,0,NA,0
2017,CC BY-ND,0,NA,0
2017,CC BY-NC-ND,6,58807,1.0202867005628581e-4
2018,CC BY,91,58721,0.0015497011290679654
2018,CC BY-SA,0,NA,0
2018,CC BY-NC,222,58721,0.0037805895676163554
2018,CC BY-NC-SA,0,NA,0
2018,CC BY-ND,0,NA,0
2018,CC BY-NC-ND,7,58721,1.1920777915907427e-4
2019,CC BY,189,58339,0.003239685287714908
2019,CC BY-SA,0,NA,0
2019,CC BY-NC,700,58339,0.011998834398944103
2019,CC BY-NC-SA,0,NA,0
2019,CC BY-ND,0,NA,0
2019,CC BY-NC-ND,5,58339,8.570595999245788e-5
2020,CC BY,3812,65613,0.058098242726288996
2020,CC BY-SA,0,NA,0
2020,CC BY-NC,2603,65613,0.0396720162162986
2020,CC BY-NC-SA,0,NA,0
2020,CC BY-ND,0,NA,0
2020,CC BY-NC-ND,17,65613,2.590949964183927e-4
2021,CC BY,6121,63974,0.09567949479476037
2021,CC BY-SA,0,NA,0
2021,CC BY-NC,3556,63974,0.05558508143933473
2021,CC BY-NC-SA,0,NA,0
2021,CC BY-ND,0,NA,0
2021,CC BY-NC-ND,34,63974,5.314659080251352e-4
2022,CC BY,6246,62970,0.09919009051929491
2022,CC BY-SA,0,NA,0
2022,CC BY-NC,4560,62970,0.07241543592186755
2022,CC BY-NC-SA,1,62970,1.588057805304113e-5
2022,CC BY-ND,0,NA,0
2022,CC BY-NC-ND,17,62970,2.6996982690169924e-4
2023,CC BY,7398,59944,0.12341518750834111
2023,CC BY-SA,0,NA,0
2023,CC BY-NC,5707,59944,0.09520552515681302
2023,CC BY-NC-SA,2,59944,3.3364473508608036e-5
2023,CC BY-ND,0,NA,0
2023,CC BY-NC-ND,54,59944,9.008407847324169e-4
2024,CC BY,7934,59361,0.13365677801923823
2024,CC BY-SA,0,NA,0
2024,CC BY-NC,6217,59361,0.10473206313909807
2024,CC BY-NC-SA,1,59361,1.6846077390879533e-5
2024,CC BY-ND,0,NA,0
2024,CC BY-NC-ND,104,59361,0.0017519920486514715
2025,CC BY,9131,62398,0.1463348184236674
2025,CC BY-SA,0,NA,0
2025,CC BY-NC,6742,62398,0.10804833488252828
2025,CC BY-NC-SA,3,62398,4.807846405333504e-5
2025,CC BY-ND,0,NA,0
2025,CC BY-NC-ND,91,62398,0.0014583800762844963
2026,CC BY,1598,10544,0.15155538694992413
2026,CC BY-SA,0,NA,0
2026,CC BY-NC,1139,10544,0.10802352048558422
2026,CC BY-NC-SA,1,10544,9.484066767830046e-5
2026,CC BY-ND,0,NA,0
2026,CC BY-NC-ND,12,10544,0.0011380880121396055
