cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2018,Portland Press (TIB),global,CC BY-SA,0,0,0
2018,RSC (TIB),global,CC BY-SA,0,0,0
2018,Sage (BSB),global,CC BY-SA,0,0,0
2018,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2019,BMJ (BSB),global,CC BY-SA,0,0,0
2019,CUP (BSB),global,CC BY-SA,0,0,0
2019,ECS (TIB),global,CC BY-SA,0,0,0
2019,IOP (TIB),global,CC BY-SA,0,0,0
2019,Karger (BSB),global,CC BY-SA,0,0,0
2019,Nature (MPDL),global,CC BY-SA,0,0,0
2019,Portland Press (TIB),global,CC BY-SA,0,0,0
2019,RSC (TIB),global,CC BY-SA,0,0,0
2019,Sage (BSB),global,CC BY-SA,0,0,0
2019,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2020,BMJ (BSB),global,CC BY-SA,0,0,0
2020,CUP (BSB),global,CC BY-SA,0,0,0
2020,ECS (TIB),global,CC BY-SA,0,0,0
2020,IOP (TIB),global,CC BY-SA,0,0,0
2020,Karger (BSB),global,CC BY-SA,0,0,0
2020,Nature (MPDL),global,CC BY-SA,0,0,0
2020,Portland Press (TIB),global,CC BY-SA,0,0,0
2020,RSC (TIB),global,CC BY-SA,0,0,0
2020,Sage (BSB),global,CC BY-SA,0,0,0
2020,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2021,BMJ (BSB),global,CC BY-SA,0,0,0
2021,CUP (BSB),global,CC BY-SA,0,0,0
2021,ECS (TIB),global,CC BY-SA,0,0,0
2021,IOP (TIB),global,CC BY-SA,0,0,0
2021,Karger (BSB),global,CC BY-SA,0,0,0
2021,Nature (MPDL),global,CC BY-SA,0,0,0
2021,Portland Press (TIB),global,CC BY-SA,0,0,0
2021,RSC (TIB),global,CC BY-SA,0,0,0
2021,Sage (BSB),global,CC BY-SA,0,0,0
2021,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2022,BMJ (BSB),global,CC BY-SA,0,0,0
2022,CUP (BSB),global,CC BY-SA,14,24119,5.804552427546748e-4
2022,ECS (TIB),global,CC BY-SA,0,0,0
2022,IOP (TIB),global,CC BY-SA,0,0,0
2022,Karger (BSB),global,CC BY-SA,0,0,0
2022,Nature (MPDL),global,CC BY-SA,0,0,0
2022,Portland Press (TIB),global,CC BY-SA,0,0,0
2022,RSC (TIB),global,CC BY-SA,0,0,0
2022,Sage (BSB),global,CC BY-SA,0,0,0
2022,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2023,BMJ (BSB),global,CC BY-SA,0,0,0
2023,CUP (BSB),global,CC BY-SA,25,18266,0.0013686630898937918
2023,ECS (TIB),global,CC BY-SA,0,0,0
2023,IOP (TIB),global,CC BY-SA,0,0,0
2023,Karger (BSB),global,CC BY-SA,0,0,0
2023,Nature (MPDL),global,CC BY-SA,0,0,0
2023,Portland Press (TIB),global,CC BY-SA,0,0,0
2023,RSC (TIB),global,CC BY-SA,0,0,0
2023,Sage (BSB),global,CC BY-SA,0,0,0
2023,TaylorFrancis (ZBW),global,CC BY-SA,0,0,0
2017,BMJ (BSB),global,CC BY-NC,8,6238,0.0012824623276691247
2017,CUP (BSB),global,CC BY-NC,0,0,0
2017,ECS (TIB),global,CC BY-NC,0,0,0
2017,IOP (TIB),global,CC BY-NC,0,0,0
2017,Karger (BSB),global,CC BY-NC,1,4609,2.1696680407897592e-4
2017,Nature (MPDL),global,CC BY-NC,0,0,0
2017,Portland Press (TIB),global,CC BY-NC,0,0,0
2017,RSC (TIB),global,CC BY-NC,188,31052,0.0060543604276697156
2017,Sage (BSB),global,CC BY-NC,76,58800,0.0012925170068027211
2017,TaylorFrancis (ZBW),global,CC BY-NC,0,0,0
2018,BMJ (BSB),global,CC BY-NC,16,5801,0.0027581451473883815
2018,CUP (BSB),global,CC BY-NC,2,25910,7.719027402547279e-5
2018,ECS (TIB),global,CC BY-NC,0,0,0
2018,IOP (TIB),global,CC BY-NC,0,0,0
2018,Karger (BSB),global,CC BY-NC,0,0,0
2018,Nature (MPDL),global,CC BY-NC,0,0,0
2018,Portland Press (TIB),global,CC BY-NC,0,0,0
2018,RSC (TIB),global,CC BY-NC,607,32202,0.018849760884417116
2018,Sage (BSB),global,CC BY-NC,189,58692,0.0032202003680228994
2018,TaylorFrancis (ZBW),global,CC BY-NC,0,0,0
2019,BMJ (BSB),global,CC BY-NC,208,6492,0.03203943314849045
2019,CUP (BSB),global,CC BY-NC,3,25934,1.156782601989666e-4
2019,ECS (TIB),global,CC BY-NC,0,0,0
2019,IOP (TIB),global,CC BY-NC,0,0,0
2019,Karger (BSB),global,CC BY-NC,5,4774,0.0010473397570171764
2019,Nature (MPDL),global,CC BY-NC,0,0,0
2019,Portland Press (TIB),global,CC BY-NC,0,0,0
2019,RSC (TIB),global,CC BY-NC,1063,33635,0.03160398394529508
2019,Sage (BSB),global,CC BY-NC,667,58291,0.011442589765143847
2019,TaylorFrancis (ZBW),global,CC BY-NC,1,13572,7.368110816386678e-5
2020,BMJ (BSB),global,CC BY-NC,851,7294,0.11667123663284892
2020,CUP (BSB),global,CC BY-NC,4,27756,1.4411298457991066e-4
2020,ECS (TIB),global,CC BY-NC,0,0,0
2020,IOP (TIB),global,CC BY-NC,0,0,0
2020,Karger (BSB),global,CC BY-NC,261,4757,0.05486651250788312
2020,Nature (MPDL),global,CC BY-NC,0,0,0
2020,Portland Press (TIB),global,CC BY-NC,0,0,0
2020,RSC (TIB),global,CC BY-NC,1417,35031,0.04044988724272787
2020,Sage (BSB),global,CC BY-NC,2592,65628,0.039495337356006584
2020,TaylorFrancis (ZBW),global,CC BY-NC,2,13640,1.466275659824047e-4
2021,BMJ (BSB),global,CC BY-NC,831,5883,0.141254462009179
2021,CUP (BSB),global,CC BY-NC,17,26609,6.388815814198204e-4
2021,ECS (TIB),global,CC BY-NC,0,0,0
2021,IOP (TIB),global,CC BY-NC,0,0,0
2021,Karger (BSB),global,CC BY-NC,681,5116,0.13311180609851447
