cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2019,RSC (TIB),RSC,TIB,Global,30419,2502,0.08225122456359513,36,36,1
2019,SPIE (TIB),SPIE,TIB,Global,1467,4,0.0027266530334014998,8,2,0.25
2019,Sage (BSB),Sage,BSB,Global,58339,879,0.015067107766674094,963,325,0.3374870197300104
2019,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,221127,21541,0.09741460789501057,2056,1799,0.875
2019,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,13574,1011,0.07448062472373655,240,170,0.7083333333333334
2019,Thieme (ZB MED),Thieme,ZB MED,Global,514,33,0.06420233463035019,5,4,0.8
2019,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,204512,17692,0.08650837114692536,1392,1206,0.8663793103448276
2020,ACM (hebis),ACM,hebis,Global,3158,0,0,58,0,0
2020,AIP (TIB),AIP,TIB,Global,14378,0,0,26,0,0
2020,BMJ (BSB),BMJ,BSB,Global,7295,1317,0.18053461274845783,28,28,1
2020,CUP (BSB),CUP,BSB,Global,27755,3620,0.13042695009908126,332,286,0.8614457831325302
2020,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2419,271,0.11202976436544027,102,70,0.6862745098039216
2020,De Gruyter (ZBW),De Gruyter,ZBW,Global,1638,135,0.08241758241758242,60,43,0.7166666666666667
2020,ECS (TIB),ECS,TIB,Global,2049,872,0.4255734504636408,2,2,1
2020,Elsevier (DEAL),Elsevier,DEAL,Global,544580,28332,0.05202541408057586,1828,1643,0.8987964989059081
2020,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,1028,59,0.057392996108949414,28,17,0.6071428571428571
2020,IOP (TIB),IOP,TIB,Global,17652,1919,0.10871289372309087,56,54,0.9642857142857143
2020,Karger (BSB),Karger,BSB,Global,5118,458,0.08948808128175069,70,62,0.8857142857142857
2020,Nature (MPDL),Nature,MPDL,Global,10508,155,0.014750666159116863,32,16,0.5
2020,Portland Press (TIB),Portland Press,TIB,Global,862,516,0.5986078886310905,5,5,1
2020,RSC (TIB),RSC,TIB,Global,31744,3265,0.10285408266129033,37,37,1
2020,SPIE (TIB),SPIE,TIB,Global,1278,9,0.007042253521126761,8,3,0.375
2020,Sage (BSB),Sage,BSB,Global,65612,6415,0.09777174907029201,965,757,0.7844559585492228
2020,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,243112,33822,0.13912106354272927,2081,1922,0.9235944257568477
2020,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,13639,1163,0.08527018109832099,240,183,0.7625
2020,Thieme (ZB MED),Thieme,ZB MED,Global,661,41,0.06202723146747353,5,4,0.8
2020,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,221195,31255,0.14130066231153507,1399,1307,0.9342387419585418
2021,ACM (hebis),ACM,hebis,Global,4363,0,0,58,0,0
2021,AIP (TIB),AIP,TIB,Global,15352,0,0,26,0,0
2021,BMJ (BSB),BMJ,BSB,Global,5883,1348,0.22913479517253102,28,28,1
2021,CUP (BSB),CUP,BSB,Global,26608,5581,0.2097489476849068,330,319,0.9666666666666667
2021,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2390,304,0.12719665271966527,102,76,0.7450980392156863
2021,De Gruyter (ZBW),De Gruyter,ZBW,Global,1651,201,0.12174439733494852,60,39,0.65
2021,ECS (TIB),ECS,TIB,Global,2059,630,0.305973773676542,2,2,1
2021,Elsevier (DEAL),Elsevier,DEAL,Global,573197,46125,0.08046971634534025,1838,1732,0.9423286180631121
2021,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,946,181,0.19133192389006343,28,25,0.8928571428571429
2021,IOP (TIB),IOP,TIB,Global,17075,2386,0.13973645680819913,56,56,1
2021,Karger (BSB),Karger,BSB,Global,5502,795,0.1444929116684842,70,65,0.9285714285714286
2021,Nature (MPDL),Nature,MPDL,Global,11221,551,0.04910435790036539,35,34,0.9714285714285714
2021,Portland Press (TIB),Portland Press,TIB,Global,832,510,0.6129807692307693,5,5,1
2021,RSC (TIB),RSC,TIB,Global,30767,3566,0.11590340299671727,37,37,1
2021,SPIE (TIB),SPIE,TIB,Global,1365,3,0.002197802197802198,8,3,0.375
2021,Sage (BSB),Sage,BSB,Global,64002,9683,0.15129214712040248,970,846,0.8721649484536083
2021,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,269108,45423,0.16879096868171886,2101,1980,0.9424083769633508
2021,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,14287,2236,0.1565059144676979,237,211,0.890295358649789
2021,Thieme (ZB MED),Thieme,ZB MED,Global,524,59,0.11259541984732824,5,5,1
2021,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,218026,39130,0.17947400768715657,1386,1321,0.9531024531024531
2022,ACM (hebis),ACM,hebis,Global,3950,0,0,58,0,0
