esac_publisher,cr_year,country_name,cc_total,articles,prop
All,2017,Myanmar (Burma),4,42,0.09523809523809523
All,2017,Mongolia,0,51,0
All,2017,Macao SAR China,2,395,0.005063291139240506
All,2017,Martinique,0,33,0
All,2017,Mauritania,0,2,0
All,2017,Montserrat,0,1,0
All,2017,Malta,3,155,0.01935483870967742
All,2017,Mauritius,2,57,0.03508771929824561
All,2017,Maldives,0,8,0
All,2017,Malawi,6,60,0.1
All,2017,Mexico,85,5902,0.014401897661809555
All,2017,Malaysia,74,6574,0.011256464861575905
All,2017,Mozambique,7,53,0.1320754716981132
All,2017,Namibia,3,31,0.0967741935483871
All,2017,New Caledonia,0,31,0
All,2017,Niger,4,40,0.1
All,2017,Nigeria,48,1360,0.03529411764705882
All,2017,Nicaragua,0,8,0
All,2017,Netherlands,4038,16845,0.23971504897595725
All,2017,Norway,524,5120,0.10234375
All,2017,Nepal,6,172,0.03488372093023256
All,2017,New Zealand,128,4307,0.029719061992105875
All,2017,Oman,5,271,0.01845018450184502
All,2017,Panama,3,74,0.04054054054054054
All,2017,Peru,15,352,0.04261363636363636
All,2017,French Polynesia,3,23,0.13043478260869565
All,2017,Papua New Guinea,0,17,0
All,2017,Philippines,20,578,0.03460207612456748
All,2017,Pakistan,56,3666,0.015275504637206765
All,2017,Poland,2043,10629,0.1922099915325995
All,2017,Puerto Rico,5,231,0.021645021645021644
All,2017,Palestinian Territories,5,107,0.04672897196261682
All,2017,Portugal,110,6500,0.016923076923076923
All,2017,Palau,1,3,0.3333333333333333
All,2017,Paraguay,1,55,0.01818181818181818
All,2017,Qatar,18,592,0.030405405405405407
All,2017,Réunion,0,51,0
All,2017,Romania,31,1926,0.016095534787123573
All,2017,Serbia,20,1702,0.011750881316098707
All,2017,Russia,178,11491,0.015490383778609347
All,2017,Rwanda,3,45,0.06666666666666667
All,2017,Saudi Arabia,106,3673,0.02885924312551048
All,2017,Solomon Islands,0,1,0
All,2017,Seychelles,0,5,0
All,2017,Sudan,4,137,0.029197080291970802
All,2017,Sweden,2169,10104,0.21466745843230403
All,2017,Singapore,174,5376,0.03236607142857143
All,2017,Slovenia,55,1219,0.045118949958982774
All,2017,Slovakia,27,1329,0.020316027088036117
All,2017,Sierra Leone,0,7,0
All,2017,San Marino,1,7,0.14285714285714285
All,2017,Senegal,2,108,0.018518518518518517
