cr_year,issn_l,collection,articles,oa_articles
2019,2040-3364,global,2626,250
2019,2042-6496,de,4,1
2019,2042-6496,global,779,55
2019,2044-4753,de,34,4
2019,2044-4753,global,744,61
2019,2047-4830,de,8,1
2019,2047-4830,global,509,32
2019,2050-7496,de,57,22
2019,2050-7496,global,2975,187
2019,2050-750X,de,21,8
2019,2050-750X,global,881,41
2019,2050-7526,de,48,12
2019,2050-7526,global,1867,90
2019,2050-7887,de,8,4
2019,2050-7887,global,217,41
2019,2051-6347,de,10,7
2019,2051-6347,global,253,34
2019,2051-8153,de,5,2
2019,2051-8153,global,348,28
2019,2052-1537,de,9,2
2019,2052-1537,global,349,9
2019,2052-1545,de,9,1
2019,2052-1545,global,440,18
2019,2052-4110,de,18,5
2019,2052-4110,global,634,19
2019,2053-1400,de,3,0
2019,2053-1400,global,236,20
2019,2055-6756,de,9,1
2019,2055-6756,global,177,10
2019,2058-9689,de,5,2
2019,2058-9689,global,122,12
2019,2058-9883,de,21,6
2019,2058-9883,global,256,37
2019,2398-4902,de,17,4
2019,2398-4902,global,376,40
2019,2515-4184,de,1,1
2019,2515-4184,global,58,7
2019,2632-8682,de,0,0
2019,2632-8682,global,0,0
2020,0003-2654,de,20,8
2020,0003-2654,global,978,89
2020,0265-0568,de,11,4
2020,0265-0568,global,118,7
2020,0267-9477,de,19,5
2020,0267-9477,global,348,52
2020,0306-0012,de,20,11
2020,0306-0012,global,398,66
2020,1144-0546,de,14,2
2020,1144-0546,global,2383,45
2020,1359-6640,de,9,3
2020,1359-6640,global,118,18
2020,1359-7345,de,154,52
2020,1359-7345,global,3671,348
2020,1463-9076,de,208,73
2020,1463-9076,global,3005,389
2020,1463-9262,de,37,19
2020,1463-9262,global,905,135
2020,1466-8033,de,24,4
2020,1466-8033,global,1041,53
2020,1473-0189,de,16,10
2020,1473-0189,global,532,104
2020,1477-0520,de,35,5
2020,1477-0520,global,1163,86
2020,1477-9226,de,121,28
2020,1477-9226,global,2043,153
2020,1744-683X,de,77,30
2020,1744-683X,global,1267,190
2020,1754-5692,de,23,17
2020,1754-5692,global,402,71
2020,1759-9660,de,11,2
2020,1759-9660,global,761,27
2020,1759-9954,de,51,24
2020,1759-9954,global,940,96
2020,2040-3364,de,112,49
2020,2040-3364,global,2591,298
2020,2042-6496,de,5,1
2020,2042-6496,global,941,60
2020,2044-4753,de,46,15
2020,2044-4753,global,869,91
2020,2047-4830,de,18,8
2020,2047-4830,global,655,63
2020,2050-7496,de,62,25
2020,2050-7496,global,2608,200
2020,2050-750X,de,19,6
2020,2050-750X,global,1127,76
2020,2050-7526,de,48,13
2020,2050-7526,global,2030,126
2020,2050-7887,de,8,1
2020,2050-7887,global,217,47
2020,2051-6347,de,17,7
2020,2051-6347,global,355,51
2020,2051-8153,de,6,1
2020,2051-8153,global,351,41
2020,2052-1537,de,5,1
2020,2052-1537,global,361,20
2020,2052-1545,de,9,3
2020,2052-1545,global,531,19
