cr_year,cat,article_total,name,oa_articles,oa_share
2017,Germany,74,Crossref,1,0.013513513513513514
2017,Germany,74,Unpaywall,1,0.013513513513513514
2018,Germany,83,Crossref,3,0.03614457831325301
2018,Germany,83,Unpaywall,4,0.04819277108433735
2019,Germany,84,Crossref,10,0.11904761904761904
2019,Germany,84,Unpaywall,9,0.10714285714285714
2020,Germany,72,Crossref,9,0.125
2020,Germany,72,Unpaywall,9,0.125
2021,Germany,69,Crossref,21,0.30434782608695654
2021,Germany,69,Unpaywall,21,0.30434782608695654
2022,Germany,51,Crossref,17,0.3333333333333333
2022,Germany,51,Unpaywall,17,0.3333333333333333
2023,Germany,47,Crossref,16,0.3404255319148936
2023,Germany,47,Unpaywall,14,0.2978723404255319
