cr_year,issn_l,collection,articles,oa_articles
2017,0021-7670,global,37,0
2017,0021-8820,de,2,0
2017,0021-8820,global,164,6
2017,0021-891X,de,4,0
2017,0021-891X,global,108,5
2017,0021-9142,de,0,0
2017,0021-9142,global,14,1
2017,0022-0116,de,0,0
2017,0022-0116,global,24,1
2017,0022-0833,de,2,1
2017,0022-0833,global,63,20
2017,0022-1155,de,1,0
2017,0022-1155,global,543,0
2017,0022-1791,de,3,0
2017,0022-1791,global,34,2
2017,0022-2291,de,5,0
2017,0022-2291,global,114,8
2017,0022-2461,de,28,2
2017,0022-2461,global,1230,56
2017,0022-2631,de,1,0
2017,0022-2631,global,62,11
2017,0022-2844,de,1,1
2017,0022-2844,global,47,8
2017,0022-3239,de,6,0
2017,0022-3239,global,167,10
2017,0022-3611,de,5,1
2017,0022-3611,global,34,10
2017,0022-4197,de,1,1
2017,0022-4197,global,185,13
2017,0022-4715,de,20,0
2017,0022-4715,global,241,23
2017,0022-5010,de,1,0
2017,0022-5010,global,42,7
2017,0022-5363,de,3,2
2017,0022-5363,global,36,6
2017,0023-2653,de,47,0
2017,0023-2653,global,60,0
2017,0023-6837,de,8,0
2017,0023-6837,global,342,6
2017,0025-1534,de,0,0
2017,0025-1534,global,14,1
2017,0025-2514,de,32,0
2017,0025-2514,global,134,4
2017,0025-2611,de,10,0
2017,0025-2611,global,84,4
2017,0025-3162,de,8,2
2017,0025-3162,global,222,19
2017,0025-3235,de,3,0
2017,0025-3235,global,39,9
2017,0025-5610,de,7,1
2017,0025-5610,global,117,9
2017,0025-5831,de,14,1
2017,0025-5831,global,110,12
2017,0025-5858,de,8,0
2017,0025-5858,global,24,0
2017,0025-5874,de,25,4
2017,0025-5874,global,178,22
2017,0025-6455,de,2,0
2017,0025-6455,global,210,10
2017,0026-1335,de,3,0
2017,0026-1335,global,31,4
2017,0026-1424,de,1,0
2017,0026-1424,global,30,4
2017,0026-3672,de,3,0
2017,0026-3672,global,553,4
2017,0026-4598,de,3,0
2017,0026-4598,global,74,5
2017,0026-4695,de,4,1
2017,0026-4695,global,25,6
2017,0026-9247,de,11,1
2017,0026-9247,global,229,27
2017,0026-9255,de,6,0
2017,0026-9255,global,132,19
2017,0026-9298,de,123,2
2017,0026-9298,global,189,5
2017,0028-1042,de,8,1
2017,0028-1042,global,104,16
2017,0028-1298,de,19,1
2017,0028-1298,global,121,9
2017,0028-2677,de,0,0
2017,0028-2677,global,36,6
2017,0028-2804,de,149,1
2017,0028-2804,global,202,5
2017,0028-3320,de,1,0
2017,0028-3320,global,17,0
2017,0028-3940,de,18,0
2017,0028-3940,global,191,10
2017,0028-8276,de,0,0
2017,0028-8276,global,29,1
2017,0029-568X,de,1,0
2017,0029-568X,global,34,0
2017,0029-599X,de,23,2
2017,0029-599X,global,82,12
2017,0029-8549,de,12,2
2017,0029-8549,global,248,27
2017,0030-3887,de,0,0
2017,0030-3887,global,38,0
2017,0030-770X,de,16,0
2017,0030-770X,global,139,22
2017,0030-9338,de,11,0
2017,0030-9338,global,80,6
2017,0031-0220,de,15,1
2017,0031-0220,global,55,5
2017,0031-2789,de,1,0
2017,0031-2789,global,47,4
2017,0031-3998,de,12,1
2017,0031-3998,global,301,9
2017,0031-5303,de,4,0
2017,0031-5303,global,53,2
2017,0031-6768,de,45,9
2017,0031-6768,global,166,28
2017,0031-6970,de,14,3
2017,0031-6970,global,219,46
2017,0031-8116,de,14,0
2017,0031-8116,global,173,38
2017,0032-079X,de,24,3
