cr_year,esac_publisher,collection,articles,oa_articles,oa_prop
2019,John Benjamins Publishing,global,1538,51,0.03315994798439532
2019,Karger,global,5262,246,0.046750285062713795
2019,"Mary Ann Liebert, Inc.",global,6896,0,0
2019,Microbiology Society,global,1223,87,0.07113654946852004
2019,National Academy of Sciences,global,4034,1299,0.3220128904313337
2019,Optica,global,3918,28,0.0071465033180193975
2019,Oxford University Press,global,51904,4622,0.08904901356350185
2019,Portland Press,global,719,158,0.21974965229485396
2019,Radiological Society of North America,global,655,0,0
2019,Rockefeller University Press,global,576,87,0.15104166666666666
2019,Royal College of General Practitioners,global,548,0,0
2019,Royal Irish Academy,global,179,0,0
2019,Royal Society of Chemistry,global,31307,2579,0.08237774299677389
2019,Sage,global,62126,1011,0.016273379905353637
2019,Society for Neuroscience,global,829,0,0
2019,SPIE,global,1467,4,0.0027266530334014998
2019,Springer Nature,global,290299,21726,0.07484007867750148
2019,Taylor and Francis,global,135027,6582,0.0487458063942767
2019,The Electrochemical Society,global,23430,1979,0.08446436192915066
2019,The Geological Society of London,global,485,62,0.12783505154639174
2019,The Royal Society,global,2264,0,0
2019,Thieme,global,12107,166,0.013711076236887752
2019,Trans Tech Publications,global,4875,84,0.01723076923076923
2019,Walter de Gruyter,global,19490,651,0.03340174448435095
2019,White Horse Press,global,125,0,0
2019,Wiley,global,202448,17095,0.08444143681340394
2019,Wolters Kluwer Health,global,69864,1435,0.020539906103286387
2019,World Scientific,global,10174,0,0
2020,AIP Publishing,global,15296,0,0
2020,Akadémiai Kiadó,global,1023,509,0.4975562072336266
2020,American Chemical Society,global,62015,670,0.010803837781181972
2020,American Meteorological Society,global,2187,13,0.00594421582075903
2020,American Physical Society,global,19557,3427,0.17523137495525898
2020,American Physiological Society,global,2435,0,0
2020,American Psychological Association,global,7125,67,0.009403508771929825
2020,Association for Computing Machinery,global,5072,88,0.017350157728706624
2020,Bentham Science Publishers,global,8429,1460,0.17321153161703642
2020,Bioscientifica,global,691,23,0.03328509406657019
2020,BMJ Publishing,global,14600,1880,0.12876712328767123
2020,Brill,global,7946,754,0.0948905109489051
2020,Bristol University Press,global,454,36,0.07929515418502203
2020,Cambridge University Press,global,30022,3529,0.11754713210312437
2020,Canadian Science Publishing,global,1999,0,0
2020,Cold Spring Harbor Laboratory Press,global,324,0,0
2020,Company of Biologists,global,1706,126,0.0738569753810082
2020,CSIRO,global,1663,0,0
2020,EDP Sciences,global,4626,1050,0.22697795071335927
2020,Edward Elgar Publishing,global,223,25,0.11210762331838565
2020,Elsevier,global,564750,28871,0.051121735281097834
2020,Emerald,global,19100,0,0
2020,European Respiratory Society,global,778,270,0.34704370179948585
2020,Future Science Group,global,2256,277,0.12278368794326242
2020,Hogrefe,global,1029,59,0.057337220602526724
2020,IEEE,global,53283,1413,0.026518777095884242
2020,Inter-Research Science Publisher,global,559,48,0.08586762075134168
2020,IOP Publishing,global,29511,2874,0.09738741486225476
2020,IOS Press,global,5489,482,0.0878119876115868
2020,IWA Publishing,global,69,17,0.2463768115942029
2020,John Benjamins Publishing,global,1664,76,0.04567307692307692
2020,Karger,global,5177,462,0.08924087309252463
2020,"Mary Ann Liebert, Inc.",global,7048,0,0
2020,Microbiology Society,global,1258,166,0.13195548489666137
2020,National Academy of Sciences,global,4349,1564,0.3596229018165095
2020,Optica,global,4221,44,0.010424070125562663
2020,Oxford University Press,global,57149,6584,0.115207615181368
2020,Portland Press,global,862,516,0.5986078886310905
2020,Radiological Society of North America,global,772,0,0
2020,Rockefeller University Press,global,579,89,0.153713298791019
2020,Royal College of General Practitioners,global,556,93,0.1672661870503597
2020,Royal Irish Academy,global,151,0,0
2020,Royal Society of Chemistry,global,32262,3316,0.10278346041782903
2020,Sage,global,69627,6610,0.09493443635371336
2020,Society for Neuroscience,global,851,0,0
2020,SPIE,global,1278,9,0.007042253521126761
2020,Springer Nature,global,307673,34117,0.11088720817231282
2020,Taylor and Francis,global,136799,8263,0.06040248832228306
2020,The Electrochemical Society,global,25922,2706,0.10439009335699406
2020,The Geological Society of London,global,691,74,0.10709117221418235
2020,The Royal Society,global,2386,448,0.18776194467728416
2020,Thieme,global,12711,184,0.01447565101093541
2020,Trans Tech Publications,global,4747,17,0.003581209184748262
2020,Walter de Gruyter,global,19932,1239,0.062161348585189645
2020,White Horse Press,global,133,0,0
2020,Wiley,global,218008,30210,0.13857289640747128
2020,Wolters Kluwer Health,global,76732,2002,0.0260908095709743
2020,World Scientific,global,9055,0,0
2021,AIP Publishing,global,16202,0,0
2021,Akadémiai Kiadó,global,1099,522,0.4749772520473157
2021,American Chemical Society,global,63877,6352,0.09944111338979601
2021,American Meteorological Society,global,2193,69,0.03146374829001368
2021,American Physical Society,global,19041,3478,0.18265847381965233
2021,American Physiological Society,global,2271,0,0
2021,American Psychological Association,global,7829,103,0.01315621407587176
2021,Association for Computing Machinery,global,6420,137,0.02133956386292835
2021,Bentham Science Publishers,global,10116,1109,0.10962831158560696
2021,Bioscientifica,global,645,74,0.11472868217054263
2021,BMJ Publishing,global,14285,2024,0.1416870843542177
2021,Brill,global,7510,842,0.11211717709720373
2021,Bristol University Press,global,480,34,0.07083333333333333
2021,Cambridge University Press,global,29185,5454,0.18687682028439268
2021,Canadian Science Publishing,global,2112,0,0
2021,Cold Spring Harbor Laboratory Press,global,317,0,0
2021,Company of Biologists,global,1509,297,0.19681908548707752
2021,CSIRO,global,2059,0,0
2021,EDP Sciences,global,4871,1369,0.2810511188667625
2021,Edward Elgar Publishing,global,171,19,0.1111111111111111
2021,Elsevier,global,591093,46481,0.07863568000297753
2021,Emerald,global,20203,0,0
2021,European Respiratory Society,global,553,185,0.3345388788426763
2021,Future Science Group,global,2235,378,0.1691275167785235
2021,Hogrefe,global,946,181,0.19133192389006343
2021,IEEE,global,60197,2184,0.03628087778460721
2021,Inter-Research Science Publisher,global,538,151,0.28066914498141265
2021,IOP Publishing,global,27439,3139,0.11439921279930026
2021,IOS Press,global,6203,515,0.08302434305980977
2021,IWA Publishing,global,96,94,0.9791666666666666
2021,John Benjamins Publishing,global,1818,77,0.04235423542354235
2021,Karger,global,5632,807,0.14328835227272727
2021,"Mary Ann Liebert, Inc.",global,7051,0,0
2021,Microbiology Society,global,1025,273,0.26634146341463416
2021,National Academy of Sciences,global,4189,1615,0.38553354022439723
2021,Optica,global,3981,37,0.009294147199196181
2021,Oxford University Press,global,54795,8756,0.15979560178848434
2021,Portland Press,global,832,510,0.6129807692307693
2021,Radiological Society of North America,global,747,0,0
2021,Rockefeller University Press,global,613,119,0.19412724306688417
2021,Royal College of General Practitioners,global,364,104,0.2857142857142857
2021,Royal Irish Academy,global,238,23,0.09663865546218488
2021,Royal Society of Chemistry,global,31199,3615,0.11586909836853745
2021,Sage,global,68061,9993,0.14682417243355225
2021,Society for Neuroscience,global,822,0,0
2021,SPIE,global,1393,3,0.0021536252692031586
2021,Springer Nature,global,338250,46370,0.1370879526977088
2021,Taylor and Francis,global,135580,15463,0.1140507449476324
2021,The Electrochemical Society,global,23326,2945,0.12625396553202434
2021,The Geological Society of London,global,567,63,0.1111111111111111
2021,The Royal Society,global,2202,61,0.027702089009990917
2021,Thieme,global,12125,275,0.02268041237113402
