esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cambridge University Press,Germany,TDM Support,0.15384615384615385,0.1111111111111111,0.0547945205479452,0.08307692307692308,0.1337719298245614,0.12810707456978968,0.07027027027027027,0.06030150753768844,0.025380710659898477
Cambridge University Press,Germany,ORCID,0.23076923076923078,0.4222222222222222,0.5844748858447488,0.7015384615384616,0.8114035087719298,0.8164435946462715,0.8054054054054054,0.8819095477386935,0.9035532994923858
Cambridge University Press,Germany,Funder info,0.07692307692307693,0.08888888888888889,0.0273972602739726,0.04,0.23464912280701755,0.33078393881453155,0.27207207207207207,0.28391959798994976,0.17766497461928935
Cambridge University Press,Germany,Open Abstracts,0.9615384615384616,0.9777777777777777,0.9634703196347032,0.9692307692307692,0.9692982456140351,0.9732313575525813,0.9819819819819819,0.9798994974874372,0.9796954314720813
Cambridge University Press,Germany,Open Citations,0.9615384615384616,1,0.9771689497716894,0.9661538461538461,0.9758771929824561,0.9502868068833652,0.8828828828828829,0.9095477386934674,0.8426395939086294
Cambridge University Press,Global,TDM Support,0.06818181818181818,0.045454545454545456,0.05617147080561715,0.02888700084961767,0.04561977462740822,0.035978314440611135,0.026137665312923046,0.023076923076923078,0.016614975631369076
Cambridge University Press,Global,ORCID,0.22202797202797203,0.36486486486486486,0.6260162601626016,0.6966864910790145,0.762813522355507,0.7767373090192213,0.796313651983755,0.8367850098619329,0.8768276473194506
Cambridge University Press,Global,Funder info,0.05244755244755245,0.036855036855036855,0.03399852180339985,0.017275559331634098,0.12849872773536897,0.234228684080828,0.16755180672706446,0.17169625246548323,0.13081524147097917
Cambridge University Press,Global,Open Abstracts,0.9737762237762237,0.9643734643734644,0.9519586104951958,0.848201642594166,0.9523809523809523,0.9518235584031542,0.9489742788711861,0.9470414201183432,0.9336508639787329
Cambridge University Press,Global,Open Citations,0.986013986013986,0.9852579852579852,0.9733924611973392,0.973661852166525,0.9681933842239185,0.9149827501232134,0.8410913256274081,0.763905325443787,0.751772264067346
