cat,type,esac_publisher,name,value,prop
global,Elsevier,Elsevier,Total Articles,4320560,0.31279051087635074
global,Elsevier,Elsevier,Open Access Articles with Creative Commons License,339243,0.25002118867353007
global,Springer Nature,Springer Nature,Total Articles,2349438,0.17008950513181434
global,Springer Nature,Springer Nature,Open Access Articles with Creative Commons License,291543,0.21486641554710628
global,Wiley,Wiley,Total Articles,1538422,0.11137533174482411
global,Wiley,Wiley,Open Access Articles with Creative Commons License,260139,0.19172175107620038
global,Top 4-13,Taylor and Francis,Total Articles,965909,0.06992778009565082
global,Top 4-13,Taylor and Francis,Open Access Articles with Creative Commons License,87316,0.06435165975485994
global,Top 4-13,Wolters Kluwer Health,Total Articles,504154,0.03649864536549793
global,Top 4-13,Wolters Kluwer Health,Open Access Articles with Creative Commons License,17883,0.013179723434378125
global,Top 4-13,Sage,Total Articles,485949,0.035180679349401875
global,Top 4-13,Sage,Open Access Articles with Creative Commons License,50248,0.03703264234919376
global,Top 4-13,American Chemical Society,Total Articles,460699,0.03335268473767843
global,Top 4-13,American Chemical Society,Open Access Articles with Creative Commons License,31486,0.023205098252800406
global,Other,IEEE,Total Articles,460008,0.03330265922176948
global,Other,IEEE,Open Access Articles with Creative Commons License,14892,0.010975364389909916
global,Top 4-13,Oxford University Press,Total Articles,422599,0.03059440375919671
global,Top 4-13,Oxford University Press,Open Access Articles with Creative Commons License,52221,0.03848673810136219
global,Top 4-13,Royal Society of Chemistry,Total Articles,234789,0.01699774363928461
global,Top 4-13,Royal Society of Chemistry,Open Access Articles with Creative Commons License,25542,0.018824386062790698
global,Top 4-13,Cambridge University Press,Total Articles,209807,0.015189151108984604
global,Top 4-13,Cambridge University Press,Open Access Articles with Creative Commons License,32977,0.024303961287003715
global,Top 4-13,IOP Publishing,Total Articles,207666,0.015034151645075697
global,Top 4-13,IOP Publishing,Open Access Articles with Creative Commons License,22678,0.01671362568052492
global,Top 4-13,The Electrochemical Society,Total Articles,179718,0.013010833094246117
global,Top 4-13,The Electrochemical Society,Open Access Articles with Creative Commons License,21376,0.015754055143614987
