cat,type,esac_publisher,name,value,prop
de,Other,John Benjamins Publishing,Open Access Articles with Creative Commons License,67,4.527944853686558e-4
de,Other,Company of Biologists,Total Articles,718,0.0013714774709038572
de,Other,Company of Biologists,Open Access Articles with Creative Commons License,164,0.0011083327701561128
de,Other,SPIE,Total Articles,285,5.443886897041773e-4
de,Other,SPIE,Open Access Articles with Creative Commons License,0,0
de,Other,Microbiology Society,Total Articles,378,7.220313147655404e-4
de,Other,Microbiology Society,Open Access Articles with Creative Commons License,81,5.47408258430763e-4
de,Other,Akadémiai Kiadó,Total Articles,96,1.8337303232140707e-4
de,Other,Akadémiai Kiadó,Open Access Articles with Creative Commons License,13,8.785564641481381e-5
de,Other,Hogrefe,Total Articles,2620,0.0050045556737717345
de,Other,Hogrefe,Open Access Articles with Creative Commons License,821,0.005548421977427857
de,Other,Society for Neuroscience,Total Articles,389,7.430428080523683e-4
de,Other,Society for Neuroscience,Open Access Articles with Creative Commons License,0,0
de,Other,Radiological Society of North America,Total Articles,281,5.367481466907854e-4
de,Other,Radiological Society of North America,Open Access Articles with Creative Commons License,0,0
de,Other,Portland Press,Total Articles,247,4.7180353107695365e-4
de,Other,Portland Press,Open Access Articles with Creative Commons License,105,7.096032979658039e-4
de,Other,Bioscientifica,Total Articles,252,4.813542098436936e-4
de,Other,Bioscientifica,Open Access Articles with Creative Commons License,50,3.379063323646685e-4
de,Other,The Geological Society of London,Total Articles,111,2.1202506862162693e-4
de,Other,The Geological Society of London,Open Access Articles with Creative Commons License,16,1.0813002635669392e-4
de,Other,Rockefeller University Press,Total Articles,284,5.424785539508293e-4
de,Other,Rockefeller University Press,Open Access Articles with Creative Commons License,72,4.865851186051227e-4
de,Other,European Respiratory Society,Total Articles,248,4.7371366683030165e-4
de,Other,European Respiratory Society,Open Access Articles with Creative Commons License,66,4.460363587213624e-4
de,Other,Inter-Research Science Publisher,Total Articles,87,1.6618181054127516e-4
de,Other,Inter-Research Science Publisher,Open Access Articles with Creative Commons License,17,1.1488815300398729e-4
de,Other,Bristol University Press,Total Articles,147,2.807899557421546e-4
de,Other,Bristol University Press,Open Access Articles with Creative Commons License,25,1.6895316618233426e-4
de,Other,Royal College of General Practitioners,Total Articles,10,1.9101357533479906e-5
de,Other,Royal College of General Practitioners,Open Access Articles with Creative Commons License,3,2.027437994188011e-5
de,Other,Cold Spring Harbor Laboratory Press,Total Articles,135,2.578683267019787e-4
de,Other,Cold Spring Harbor Laboratory Press,Open Access Articles with Creative Commons License,0,0
de,Other,Edward Elgar Publishing,Total Articles,24,4.584325808035177e-5
de,Other,Edward Elgar Publishing,Open Access Articles with Creative Commons License,2,1.351625329458674e-5
de,Other,Royal Irish Academy,Total Articles,2,3.820271506695981e-6
de,Other,Royal Irish Academy,Open Access Articles with Creative Commons License,0,0
de,Other,White Horse Press,Total Articles,49,9.359665191405153e-5
de,Other,White Horse Press,Open Access Articles with Creative Commons License,0,0
de,Other,IWA Publishing,Total Articles,5,9.550678766739953e-6
de,Other,IWA Publishing,Open Access Articles with Creative Commons License,2,1.351625329458674e-5
