esac_publisher,cr_year,country_name,cc_total,articles,prop
All,2017,Andorra,0,1,0
All,2017,United Arab Emirates,18,1132,0.015901060070671377
All,2017,Afghanistan,0,14,0
All,2017,Antigua & Barbuda,0,2,0
All,2017,Albania,1,70,0.014285714285714285
All,2017,Armenia,9,376,0.023936170212765957
All,2017,Angola,0,11,0
All,2017,Argentina,35,5226,0.006697282816685802
All,2017,Austria,1658,8551,0.19389545082446497
All,2017,Australia,943,44008,0.021427922195964372
All,2017,Åland Islands,0,1,0
All,2017,Azerbaijan,1,373,0.002680965147453083
All,2017,Bosnia & Herzegovina,3,166,0.018072289156626505
All,2017,Barbados,1,39,0.02564102564102564
All,2017,Bangladesh,25,1056,0.023674242424242424
All,2017,Belgium,433,11930,0.03629505448449288
All,2017,Burkina Faso,4,89,0.0449438202247191
All,2017,Bulgaria,14,928,0.015086206896551725
All,2017,Bahrain,1,82,0.012195121951219513
All,2017,Burundi,0,79,0
All,2017,Benin,8,100,0.08
All,2017,Bermuda,0,6,0
All,2017,Brunei,2,109,0.01834862385321101
All,2017,Bolivia,0,60,0
All,2017,Brazil,298,26516,0.011238497510936793
All,2017,Bahamas,1,29,0.034482758620689655
All,2017,Bhutan,1,15,0.06666666666666667
All,2017,Botswana,3,154,0.01948051948051948
All,2017,Belarus,4,601,0.0066555740432612314
All,2017,Belize,0,3,0
All,2017,Canada,1111,44480,0.02497751798561151
All,2017,Congo - Kinshasa,6,80,0.075
All,2017,Central African Republic,0,5,0
All,2017,Congo - Brazzaville,1,27,0.037037037037037035
All,2017,Switzerland,886,15254,0.058083125737511475
All,2017,Côte d’Ivoire,5,110,0.045454545454545456
All,2017,Chile,42,3541,0.011861056198813894
All,2017,Cameroon,20,494,0.04048582995951417
All,2017,China,2231,213236,0.010462586054887542
All,2017,Colombia,38,2313,0.016428880242109815
All,2017,Costa Rica,9,209,0.0430622009569378
All,2017,Cuba,4,264,0.015151515151515152
All,2017,Cape Verde,0,2,0
All,2017,Curaçao,0,6,0
All,2017,Cyprus,19,922,0.020607375271149676
All,2017,Czechia,158,6812,0.02319436288901938
All,2017,Germany,3220,70310,0.045797183899871995
All,2017,Djibouti,0,3,0
All,2017,Denmark,454,10477,0.043333015176100026
All,2017,Dominica,0,3,0
All,2017,Dominican Republic,0,18,0
All,2017,Algeria,23,2631,0.008741923223109084
All,2017,Ecuador,11,462,0.023809523809523808
All,2017,Estonia,25,922,0.027114967462039046
All,2017,Egypt,62,7205,0.008605135322692574
All,2017,Eritrea,1,7,0.14285714285714285
All,2017,Spain,784,35644,0.02199528672427337
All,2017,Ethiopia,32,622,0.05144694533762058
All,2017,Finland,468,7498,0.06241664443851694
All,2017,Fiji,1,86,0.011627906976744186
All,2017,Falkland Islands,0,7,0
All,2017,Micronesia (Federated States of),0,1,0
All,2017,Faroe Islands,2,20,0.1
All,2017,France,864,43467,0.01987714818137898
All,2017,Gabon,1,31,0.03225806451612903
All,2017,United Kingdom,12447,88465,0.14069971175040977
All,2017,Grenada,0,85,0
All,2017,Georgia,0,216,0
All,2017,French Guiana,1,33,0.030303030303030304
All,2017,Ghana,21,739,0.028416779431664412
All,2017,Gibraltar,0,2,0
All,2017,Greenland,1,17,0.058823529411764705
All,2017,Gambia,10,26,0.38461538461538464
All,2017,Guinea,0,10,0
All,2017,Guadeloupe,1,50,0.02
All,2017,Equatorial Guinea,0,1,0
All,2017,Greece,79,6717,0.011761202917969331
All,2017,Guatemala,0,32,0
All,2017,Guam,1,21,0.047619047619047616
All,2017,Guinea-Bissau,3,15,0.2
All,2017,Guyana,0,6,0
All,2017,Hong Kong SAR China,65,5328,0.012199699699699699
All,2017,Honduras,1,19,0.05263157894736842
All,2017,Croatia,28,1443,0.019404019404019403
All,2017,Haiti,0,8,0
All,2017,Hungary,121,3795,0.03188405797101449
All,2017,Indonesia,46,1443,0.03187803187803188
All,2017,Ireland,142,5731,0.024777525737218635
All,2017,Israel,137,9359,0.014638316059408057
All,2017,Isle of Man,0,4,0
All,2017,India,414,54122,0.007649384723402683
All,2017,Iraq,34,871,0.03903559127439724
All,2017,Iran,262,27202,0.009631644732005
All,2017,Iceland,18,460,0.0391304347826087
All,2017,Italy,1130,43162,0.026180436495065105
All,2017,Jamaica,3,117,0.02564102564102564
All,2017,Jordan,10,943,0.010604453870625663
All,2017,Japan,1819,53780,0.03382298252138342
All,2017,Kenya,73,556,0.13129496402877697
All,2017,Kyrgyzstan,1,72,0.013888888888888888
All,2017,Cambodia,4,71,0.056338028169014086
All,2017,Kiribati,0,1,0
All,2017,St. Kitts & Nevis,1,27,0.037037037037037035
All,2017,North Korea,0,10,0
All,2017,South Korea,423,34517,0.012254830952863806
All,2017,Kuwait,2,420,0.004761904761904762
All,2017,Cayman Islands,0,2,0
All,2017,Kazakhstan,5,577,0.008665511265164644
All,2017,Laos,3,15,0.2
All,2017,Lebanon,10,981,0.010193679918450561
All,2017,St. Lucia,0,1,0
All,2017,Liechtenstein,0,43,0
All,2017,Sri Lanka,11,400,0.0275
All,2017,Liberia,0,4,0
All,2017,Lesotho,0,7,0
All,2017,Lithuania,16,943,0.016967126193001062
All,2017,Luxembourg,45,486,0.09259259259259259
All,2017,Latvia,5,352,0.014204545454545454
All,2017,Libya,1,79,0.012658227848101266
All,2017,Morocco,9,1757,0.005122367672168469
All,2017,Monaco,1,57,0.017543859649122806
All,2017,Moldova,4,118,0.03389830508474576
All,2017,Montenegro,1,82,0.012195121951219513
All,2017,Madagascar,3,44,0.06818181818181818
All,2017,North Macedonia,2,182,0.01098901098901099
All,2017,Mali,3,46,0.06521739130434782
All,2017,Myanmar (Burma),4,79,0.05063291139240506
All,2017,Mongolia,1,76,0.013157894736842105
All,2017,Macao SAR China,1,592,0.0016891891891891893
All,2017,Martinique,0,39,0
All,2017,Mauritania,0,4,0
All,2017,Montserrat,0,2,0
All,2017,Malta,5,256,0.01953125
All,2017,Mauritius,2,82,0.024390243902439025
All,2017,Maldives,0,9,0
All,2017,Malawi,12,86,0.13953488372093023
All,2017,Mexico,96,7537,0.01273716332758392
All,2017,Malaysia,80,6881,0.01162621711960471
All,2017,Mozambique,9,82,0.10975609756097561
All,2017,Namibia,4,49,0.08163265306122448
All,2017,New Caledonia,0,42,0
All,2017,Niger,4,50,0.08
All,2017,Nigeria,57,2101,0.027129938124702522
All,2017,Nicaragua,0,14,0
All,2017,Netherlands,5069,23697,0.21390893362028948
All,2017,Norway,632,7432,0.08503767491926803
All,2017,Nepal,6,229,0.026200873362445413
All,2017,New Zealand,148,6329,0.023384420919576553
All,2017,Oman,5,391,0.01278772378516624
All,2017,Panama,3,227,0.013215859030837005
All,2017,Peru,18,463,0.038876889848812095
All,2017,French Polynesia,3,23,0.13043478260869565
All,2017,Papua New Guinea,0,33,0
All,2017,Philippines,24,752,0.031914893617021274
All,2017,Pakistan,59,5000,0.0118
All,2017,Poland,2094,13521,0.15487020190814288
All,2017,Puerto Rico,6,403,0.01488833746898263
All,2017,Palestinian Territories,4,162,0.024691358024691357
All,2017,Portugal,125,8576,0.014575559701492538
All,2017,Palau,1,3,0.3333333333333333
All,2017,Paraguay,0,67,0
All,2017,Qatar,27,887,0.030439684329199548
All,2017,Réunion,0,59,0
All,2017,Romania,35,2468,0.014181523500810372
