cr_year,issn_l,collection,articles,oa_articles
2020,1941-7012,de,4,1
2020,1941-7012,global,156,4
2020,2166-2746,de,21,1
2020,2166-2746,global,200,9
2020,2639-0213,de,3,2
2020,2639-0213,global,19,6
2021,0001-4966,de,64,17
2021,0001-4966,global,2338,138
2021,0002-9505,de,5,3
2021,0002-9505,global,180,14
2021,0003-6951,de,137,48
2021,0003-6951,global,2399,253
2021,0021-8979,de,106,37
2021,0021-8979,global,1880,158
2021,0021-9606,de,204,77
2021,0021-9606,global,1857,268
2021,0022-2488,de,25,8
2021,0022-2488,global,462,28
2021,0031-9015,de,5,0
2021,0031-9015,global,360,0
2021,0031-921X,de,9,5
2021,0031-921X,global,335,7
2021,0031-9228,de,4,0
2021,0031-9228,global,506,0
2021,0034-6748,de,78,39
2021,0034-6748,global,1121,134
2021,0047-2689,de,2,0
2021,0047-2689,global,25,3
2021,0094-243X,de,22,6
2021,0094-243X,global,7674,12
2021,0148-6055,de,11,3
2021,0148-6055,global,108,10
2021,0734-2101,de,30,13
2021,0734-2101,global,304,26
2021,1042-346X,de,15,4
2021,1042-346X,global,77,6
2021,1054-1500,de,31,12
2021,1054-1500,global,543,50
2021,1055-5269,de,1,0
2021,1055-5269,global,18,0
2021,1063-777X,de,5,0
2021,1063-777X,global,142,1
2021,1070-6631,de,62,22
2021,1070-6631,global,2025,164
2021,1070-664X,de,26,12
2021,1070-664X,global,804,73
2021,1559-4106,de,6,1
2021,1559-4106,global,39,5
2021,1674-0068,de,0,0
2021,1674-0068,global,108,0
2021,1931-9401,de,9,5
2021,1931-9401,global,150,29
2021,1932-1058,de,1,0
2021,1932-1058,global,67,10
2021,1941-7012,de,3,1
2021,1941-7012,global,175,11
2021,2166-2746,de,16,2
2021,2166-2746,global,155,11
2021,2639-0213,de,1,0
2021,2639-0213,global,31,11
2022,0001-4966,de,44,16
2022,0001-4966,global,2454,148
2022,0002-9505,de,6,1
2022,0002-9505,global,157,14
2022,0003-6951,de,117,65
2022,0003-6951,global,2126,283
2022,0021-8979,de,102,49
2022,0021-8979,global,1844,189
2022,0021-9606,de,214,98
2022,0021-9606,global,1788,322
2022,0022-2488,de,28,9
2022,0022-2488,global,456,49
2022,0031-9015,de,4,0
2022,0031-9015,global,345,0
2022,0031-921X,de,10,3
2022,0031-921X,global,351,11
2022,0031-9228,de,2,0
2022,0031-9228,global,473,0
2022,0034-6748,de,57,41
2022,0034-6748,global,921,134
2022,0047-2689,de,3,1
2022,0047-2689,global,17,2
2022,0094-243X,de,88,9
2022,0094-243X,global,12490,88
2022,0148-6055,de,4,2
2022,0148-6055,global,106,9
2022,0734-2101,de,18,7
2022,0734-2101,global,242,40
2022,1042-346X,de,16,6
2022,1042-346X,global,67,12
2022,1054-1500,de,39,13
2022,1054-1500,global,520,54
2022,1055-5269,de,1,0
2022,1055-5269,global,37,2
2022,1063-777X,de,4,0
2022,1063-777X,global,150,0
2022,1070-6631,de,87,42
2022,1070-6631,global,2264,241
2022,1070-664X,de,34,21
2022,1070-664X,global,756,89
2022,1559-4106,de,1,0
2022,1559-4106,global,39,3
2022,1674-0068,de,0,0
2022,1674-0068,global,111,0
2022,1931-9401,de,6,3
2022,1931-9401,global,137,32
2022,1932-1058,de,4,2
2022,1932-1058,global,80,12
2022,1941-7012,de,1,1
2022,1941-7012,global,145,11
2022,2166-2746,de,8,3
2022,2166-2746,global,161,17
2022,2639-0213,de,7,3
2022,2639-0213,global,72,22
2023,0001-4966,de,74,16
2023,0001-4966,global,3030,130
2023,0002-9505,de,1,0
2023,0002-9505,global,154,20
2023,0003-6951,de,80,57
2023,0003-6951,global,2425,334
2023,0021-8979,de,65,45
2023,0021-8979,global,1609,209
2023,0021-9606,de,200,118
2023,0021-9606,global,2048,483
2023,0022-2488,de,23,10
2023,0022-2488,global,447,58
2023,0031-9015,de,4,0
2023,0031-9015,global,273,0
2023,0031-921X,de,6,1
2023,0031-921X,global,345,16
2023,0031-9228,de,0,0
2023,0031-9228,global,403,0
2023,0034-6748,de,63,34
2023,0034-6748,global,892,143
2023,0047-2689,de,0,0
2023,0047-2689,global,18,5
2023,0094-243X,de,17,9
2023,0094-243X,global,28191,285
2023,0148-6055,de,1,1
2023,0148-6055,global,66,10
2023,0734-2101,de,25,17
2023,0734-2101,global,328,53
2023,1042-346X,de,25,17
2023,1042-346X,global,84,26
2023,1054-1500,de,52,26
2023,1054-1500,global,581,96
2023,1055-5269,de,2,1
2023,1055-5269,global,51,5
2023,1063-777X,de,8,1
2023,1063-777X,global,195,3
2023,1070-6631,de,73,44
2023,1070-6631,global,3022,332
2023,1070-664X,de,34,27
2023,1070-664X,global,801,132
2023,1559-4106,de,1,1
2023,1559-4106,global,48,10
2023,1674-0068,de,0,0
2023,1674-0068,global,100,0
2023,1931-9401,de,4,3
2023,1931-9401,global,141,35
2023,1932-1058,de,0,0
2023,1932-1058,global,66,14
2023,1941-7012,de,1,0
2023,1941-7012,global,158,4
2023,2166-2746,de,10,3
2023,2166-2746,global,189,17
2023,2639-0213,de,4,4
2023,2639-0213,global,62,30
2024,0001-4966,de,60,20
2024,0001-4966,global,2267,154
2024,0002-9505,de,4,3
2024,0002-9505,global,166,19
2024,0003-6951,de,102,58
2024,0003-6951,global,2732,355
2024,0021-8979,de,66,65
2024,0021-8979,global,1753,1678
2024,0021-9606,de,214,109
2024,0021-9606,global,2343,471
2024,0022-2488,de,18,10
2024,0022-2488,global,373,57
2024,0031-9015,de,1,0
2024,0031-9015,global,298,0
2024,0031-921X,de,7,4
2024,0031-921X,global,328,22
2024,0031-9228,de,0,0
2024,0031-9228,global,341,0
2024,0034-6748,de,59,48
2024,0034-6748,global,997,189
2024,0047-2689,de,0,0
2024,0047-2689,global,12,1
2024,0094-243X,de,79,18
2024,0094-243X,global,20167,117
2024,0148-6055,de,4,2
2024,0148-6055,global,62,12
2024,0734-2101,de,14,12
2024,0734-2101,global,343,49
2024,1042-346X,de,24,13
2024,1042-346X,global,91,18
2024,1054-1500,de,34,12
2024,1054-1500,global,650,82
2024,1055-5269,de,0,0
2024,1055-5269,global,45,19
2024,1063-777X,de,6,1
2024,1063-777X,global,162,1
2024,1070-6631,de,98,53
2024,1070-6631,global,5015,420
2024,1070-664X,de,28,26
2024,1070-664X,global,913,876
2024,1559-4106,de,4,2
2024,1559-4106,global,41,7
2024,1674-0068,de,0,0
2024,1674-0068,global,139,0
2024,1931-9401,de,7,5
2024,1931-9401,global,224,48
2024,1932-1058,de,3,1
2024,1932-1058,global,90,16
2024,1941-7012,de,3,1
2024,1941-7012,global,209,22
2024,2166-2746,de,9,3
2024,2166-2746,global,187,22
2024,2639-0213,de,5,5
2024,2639-0213,global,57,21
2025,0001-4966,de,18,10
2025,0001-4966,global,318,63
2025,0002-9505,de,5,4
2025,0002-9505,global,75,14
2025,0003-6951,de,36,23
2025,0003-6951,global,1115,103
2025,0021-8979,de,27,23
2025,0021-8979,global,756,709
2025,0021-9606,de,71,32
2025,0021-9606,global,844,137
2025,0022-2488,de,11,5
2025,0022-2488,global,192,12
2025,0031-9015,de,0,0
2025,0031-9015,global,136,0
2025,0031-921X,de,3,0
2025,0031-921X,global,179,5
2025,0031-9228,de,0,0
2025,0031-9228,global,103,0
2025,0034-6748,de,22,13
2025,0034-6748,global,343,52
2025,0047-2689,de,1,0
2025,0047-2689,global,5,1
2025,0094-243X,de,0,0
2025,0094-243X,global,5592,2
2025,0148-6055,de,0,0
2025,0148-6055,global,28,2
2025,0734-2101,de,5,3
2025,0734-2101,global,166,18
2025,1042-346X,de,7,5
2025,1042-346X,global,35,7
2025,1054-1500,de,14,8
2025,1054-1500,global,304,49
2025,1055-5269,de,0,0
2025,1055-5269,global,10,2
2025,1063-777X,de,3,0
2025,1063-777X,global,94,0
2025,1070-6631,de,34,10
