cr_year,jn_all,cc,cc_total,prop
2017,1408,CC BY,69,0.049005681818181816
2017,1408,CC BY-SA,0,0
2017,1408,CC BY-NC,0,0
2017,1408,CC BY-NC-SA,0,0
2017,1408,CC BY-ND,0,0
2017,1408,CC BY-NC-ND,0,0
2018,1236,CC BY,72,0.05825242718446602
2018,1236,CC BY-SA,0,0
2018,1236,CC BY-NC,0,0
2018,1236,CC BY-NC-SA,0,0
2018,1236,CC BY-ND,0,0
2018,1236,CC BY-NC-ND,0,0
2019,1317,CC BY,65,0.04935459377372817
2019,1317,CC BY-SA,0,0
2019,1317,CC BY-NC,0,0
2019,1317,CC BY-NC-SA,0,0
2019,1317,CC BY-ND,0,0
2019,1317,CC BY-NC-ND,0,0
2020,1031,CC BY,144,0.1396702230843841
2020,1031,CC BY-SA,0,0
2020,1031,CC BY-NC,0,0
2020,1031,CC BY-NC-SA,0,0
2020,1031,CC BY-ND,0,0
2020,1031,CC BY-NC-ND,0,0
2021,891,CC BY,299,0.33557800224466894
2021,891,CC BY-SA,0,0
2021,891,CC BY-NC,0,0
2021,891,CC BY-NC-SA,0,0
2021,891,CC BY-ND,0,0
2021,891,CC BY-NC-ND,0,0
2022,914,CC BY,399,0.4365426695842451
2022,914,CC BY-SA,0,0
2022,914,CC BY-NC,0,0
2022,914,CC BY-NC-SA,0,0
2022,914,CC BY-ND,0,0
2022,914,CC BY-NC-ND,0,0
2023,850,CC BY,418,0.49176470588235294
2023,850,CC BY-SA,0,0
2023,850,CC BY-NC,0,0
2023,850,CC BY-NC-SA,0,0
2023,850,CC BY-ND,0,0
2023,850,CC BY-NC-ND,0,0
2024,913,CC BY,401,0.43921139101861995
2024,913,CC BY-SA,0,0
2024,913,CC BY-NC,46,0.050383351588170866
2024,913,CC BY-NC-SA,0,0
2024,913,CC BY-ND,0,0
2024,913,CC BY-NC-ND,39,0.04271631982475356
2025,776,CC BY,312,0.4020618556701031
2025,776,CC BY-SA,0,0
2025,776,CC BY-NC,41,0.05283505154639175
2025,776,CC BY-NC-SA,0,0
2025,776,CC BY-ND,0,0
2025,776,CC BY-NC-ND,27,0.03479381443298969
2026,387,CC BY,221,0.5710594315245479
2026,387,CC BY-SA,0,0
2026,387,CC BY-NC,4,0.0103359173126615
2026,387,CC BY-NC-SA,0,0
2026,387,CC BY-ND,0,0
2026,387,CC BY-NC-ND,5,0.012919896640826873
