esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Walter de Gruyter,Germany,TDM Support,1,1,1,0.9954337899543378,0.9876543209876543,1,1,0.9968454258675079,1,1
Walter de Gruyter,Germany,ORCID,0.03225806451612903,0.013513513513513514,0.08139534883720931,0.2237442922374429,0.3292181069958848,0.2454728370221328,0.325,0.32018927444794953,0.38006952491309387,0.37411764705882355
Walter de Gruyter,Germany,Funder info,0,0.013513513513513514,0.11627906976744186,0.273972602739726,0.2880658436213992,0.1267605633802817,0.1390625,0.07728706624605679,0.11239860950173812,0.08
Walter de Gruyter,Germany,Open Abstracts,0.8602150537634409,0.7972972972972973,0.8546511627906976,0.8082191780821918,0.8641975308641975,0.6639839034205232,0.6734375,0.6971608832807571,0.7323290845886443,0.6941176470588235
Walter de Gruyter,Germany,Open Citations,0.7741935483870968,0.7162162162162162,0.9127906976744186,0.7488584474885844,0.8477366255144033,0.6740442655935613,0.6515625,0.6861198738170347,0.7230590961761297,0.7411764705882353
Walter de Gruyter,Global,TDM Support,1,0.9774436090225563,0.9932659932659933,0.9973285841495992,0.9928251121076234,0.9902557856272838,0.9974709155285787,0.9960159362549801,1,1
Walter de Gruyter,Global,ORCID,0.029891304347826088,0.07769423558897243,0.13973063973063973,0.27960819234194123,0.33363228699551567,0.31303288672350793,0.3596358118361153,0.39619300575475874,0.463204842306467,0.46709129511677283
Walter de Gruyter,Global,Funder info,0.008152173913043478,0.040100250626566414,0.10606060606060606,0.22439893143365983,0.19192825112107623,0.13520097442143728,0.16287303995953464,0.16201859229747675,0.19401083147499204,0.160828025477707
Walter de Gruyter,Global,Open Abstracts,0.7309782608695652,0.7919799498746867,0.8367003367003367,0.8308103294746215,0.8322869955156951,0.7746650426309378,0.7794638340920587,0.7901726427622842,0.8295635552723798,0.8253715498938429
Walter de Gruyter,Global,Open Citations,0.8070652173913043,0.8421052631578947,0.9107744107744108,0.7943009795191451,0.8448430493273542,0.756394640682095,0.7121901871522509,0.7472332890659584,0.7811404906021026,0.8423566878980892
