esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024
Wiley,Germany,TDM Support,1,0.9971139971139971,0.9997320471596999,0.9995311217911148,0.9994840573728201,0.9985117202033983,0.3053768973501415,0.023185100722158875
Wiley,Germany,ORCID,0.6716981132075471,0.7489177489177489,0.7534833869239014,0.8503106318133865,0.8211742854194614,0.8712637975939477,0.8401080524826344,0.9304446978335233
Wiley,Germany,Funder info,0.779245283018868,0.7792207792207793,0.5707395498392283,0.5965303012542492,0.4975750696522547,0.538633263053454,0.5299717005402624,0.5731660965412391
Wiley,Germany,Open Abstracts,0.8905660377358491,0.9206349206349206,0.9485530546623794,0.9311921228460908,0.9361263027551336,0.9374922485427261,0.9754309235914587,0.9612314709236032
Wiley,Germany,Open Citations,0.9962264150943396,0.9985569985569985,0.9919614147909968,0.9862853123901066,0.9862759261170158,0.9838769688701476,0.9891947517365578,0.9870771569745344
Wiley,Global,TDM Support,0.9974853310980721,0.9971406290616065,0.9996582365003418,0.997873368777187,0.9983837036276875,0.9955606338740494,0.29069674297890064,0.04736129905277402
Wiley,Global,ORCID,0.5699916177703269,0.7094705831383762,0.7755183413078149,0.8493636217174159,0.8607419570013854,0.8755666279548946,0.8859161473269357,0.9129454217410916
Wiley,Global,Funder info,0.7432642797269788,0.7446495104410363,0.628218272955115,0.5701304978250362,0.487864949458669,0.4841718802682351,0.49180537977218475,0.5102616147947677
Wiley,Global,Open Abstracts,0.8524727577535625,0.8790399445455334,0.8946229209387104,0.889544063154503,0.901021088819334,0.9085715356085865,0.9531392684919656,0.949781987671027
Wiley,Global,Open Citations,0.980840617890073,0.9844034312451261,0.9862724994303942,0.9789270178830353,0.9827595053619991,0.9814745438879107,0.98221695317131,0.9815065403698692
