esac_publisher,cat,name,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thieme,Germany,TDM Support,0,0,0,0,0,0,0,0,0
Thieme,Germany,ORCID,0,0,0,0.08,0.31092436974789917,0.32679738562091504,0.47530864197530864,0.4715909090909091,0.625
Thieme,Germany,Funder info,0,0,0.02127659574468085,0.14,0.20168067226890757,0.16339869281045752,0.21604938271604937,0.18181818181818182,0.16666666666666666
Thieme,Germany,Open Abstracts,0.9534883720930233,0.9841269841269841,0.9680851063829787,0.94,0.9327731092436975,0.934640522875817,0.9197530864197531,0.9034090909090909,0.9583333333333334
Thieme,Germany,Open Citations,0,0,0.05319148936170213,0.64,0.9663865546218487,0.954248366013072,0.9629629629629629,0.9659090909090909,0.9166666666666666
Thieme,Global,TDM Support,0,0,0,0,0,0,0,0,0
Thieme,Global,ORCID,0.05952380952380952,0,0.05421686746987952,0.1956521739130435,0.3709090909090909,0.4359673024523161,0.4672897196261682,0.5427927927927928,0.65625
Thieme,Global,Funder info,0.16666666666666666,0,0.07228915662650602,0.23369565217391305,0.3418181818181818,0.28610354223433243,0.2733644859813084,0.3130630630630631,0.34375
Thieme,Global,Open Abstracts,0.9642857142857143,0.8925619834710744,0.95783132530120485,0.9293478260869565,0.9381818181818182,0.9264305177111717,0.8925233644859814,0.8873873873873874,0.9296875
Thieme,Global,Open Citations,0.14285714285714285,0.01652892561983471,0.05421686746987952,0.6847826086956522,0.9672727272727273,0.9509536784741145,0.9532710280373832,0.954954954954955,0.7578125
