esac_publisher,cr_year,article_total,upw_hybrid_total,cr_hybrid_total
"Mary Ann Liebert, Inc.",2020,7137,439,0
BMJ Publishing,2017,7034,782,2
"Mary Ann Liebert, Inc.",2019,6895,458,0
Bentham Science Publishers,2018,6837,0,195
"Mary Ann Liebert, Inc.",2018,6833,131,0
Bentham Science Publishers,2019,6818,24,1317
Brill,2019,6815,265,257
BMJ Publishing,2018,6753,793,10
"Mary Ann Liebert, Inc.",2017,6649,56,0
IOS Press,2021,6609,290,632
Brill,2018,6509,178,106
Brill,2017,6266,144,86
Association for Computing Machinery,2021,6137,85,145
Trans Tech Publications,2017,5924,45,50
IOS Press,2020,5805,310,630
Bentham Science Publishers,2017,5659,0,14
Trans Tech Publications,2018,5583,171,171
IOS Press,2019,5355,313,396
Karger,2021,5197,901,912
Association for Computing Machinery,2019,5190,105,44
Association for Computing Machinery,2018,5060,111,19
Association for Computing Machinery,2017,4945,123,36
Association for Computing Machinery,2020,4901,66,91
Karger,2018,4881,247,246
Trans Tech Publications,2019,4875,80,83
Karger,2020,4871,489,477
Karger,2019,4846,265,248
IOS Press,2018,4777,123,393
IOS Press,2017,4750,31,344
Trans Tech Publications,2020,4747,14,16
Karger,2017,4723,209,206
EDP Sciences,2021,4521,1132,1136
National Academy of Sciences,2020,4349,1594,1564
EDP Sciences,2020,4233,832,829
National Academy of Sciences,2021,4189,1528,1615
EDP Sciences,2019,4179,630,625
EDP Sciences,2017,4153,153,76
National Academy of Sciences,2019,4034,1336,1299
National Academy of Sciences,2017,4018,286,212
National Academy of Sciences,2018,4014,1235,1166
EDP Sciences,2018,3923,322,326
Trans Tech Publications,2021,3762,10,7
The Electrochemical Society,2017,3217,4,0
The Electrochemical Society,2019,2689,103,815
The Electrochemical Society,2018,2616,13,651
American Physiological Society,2018,2600,123,0
The Electrochemical Society,2020,2573,823,873
The Electrochemical Society,2021,2561,688,631
American Physiological Society,2019,2490,104,0
American Physiological Society,2020,2470,99,0
Canadian Science Publishing,2017,2403,5,0
Future Science Group,2019,2402,308,0
The Royal Society,2020,2388,592,447
Future Science Group,2021,2371,398,0
Canadian Science Publishing,2018,2353,29,0
American Physiological Society,2017,2319,70,0
American Physiological Society,2021,2304,161,0
Future Science Group,2018,2293,240,0
The Royal Society,2017,2283,485,0
Canadian Science Publishing,2019,2268,63,0
The Royal Society,2019,2264,468,0
Future Science Group,2017,2256,189,0
Future Science Group,2020,2252,283,0
The Royal Society,2018,2244,496,0
The Royal Society,2021,2199,864,60
Canadian Science Publishing,2021,2089,226,1
Canadian Science Publishing,2020,2025,97,0
John Benjamins Publishing,2021,1795,59,72
SPIE,2018,1756,218,0
Company of Biologists,2020,1695,1073,195
John Benjamins Publishing,2020,1670,44,75
SPIE,2017,1651,203,0
Microbiology Society,2017,1640,135,1
Company of Biologists,2017,1633,1003,146
Company of Biologists,2018,1567,993,131
Company of Biologists,2019,1560,990,132
John Benjamins Publishing,2019,1543,11,45
Company of Biologists,2021,1481,476,294
SPIE,2019,1467,198,4
John Benjamins Publishing,2017,1428,13,14
SPIE,2021,1393,244,3
John Benjamins Publishing,2018,1371,4,9
Microbiology Society,2020,1282,89,3
SPIE,2020,1276,161,9
Microbiology Society,2019,1242,104,6
Microbiology Society,2018,1210,106,3
Hogrefe,2021,1068,189,1
Hogrefe,2020,1049,26,0
Microbiology Society,2021,1039,37,13
Hogrefe,2019,997,9,0
Hogrefe,2018,942,3,0
Hogrefe,2017,930,3,0
Portland Press,2020,862,514,516
Portland Press,2021,832,498,508
European Respiratory Society,2020,775,269,261
Bioscientifica,2017,769,77,66
Portland Press,2017,734,153,154
Portland Press,2018,724,152,152
Portland Press,2019,719,154,156
Bioscientifica,2020,692,76,9
Bioscientifica,2018,690,72,64
The Geological Society of London,2020,662,67,67
Bioscientifica,2021,644,83,74
European Respiratory Society,2017,639,43,0
The Geological Society of London,2018,638,66,60
Bioscientifica,2019,634,64,58
European Respiratory Society,2019,607,64,40
The Geological Society of London,2017,590,79,79
European Respiratory Society,2018,584,41,3
Radiological Society of North America,2021,578,20,0
Radiological Society of North America,2018,570,23,0
Royal College of General Practitioners,2020,556,107,93
Radiological Society of North America,2019,556,27,0
Bristol University Press,2021,556,31,46
Radiological Society of North America,2020,555,15,0
European Respiratory Society,2021,552,141,184
Royal College of General Practitioners,2019,548,50,0
The Geological Society of London,2019,520,72,72
Royal College of General Practitioners,2018,495,41,0
Radiological Society of North America,2017,495,19,0
Bristol University Press,2019,483,29,33
The Geological Society of London,2021,475,61,62
Bristol University Press,2020,464,27,34
Royal College of General Practitioners,2017,439,37,0
Bristol University Press,2018,432,24,23
Bristol University Press,2017,366,19,18
Royal College of General Practitioners,2021,364,101,104
Cold Spring Harbor Laboratory Press,2017,351,180,0
Cold Spring Harbor Laboratory Press,2020,334,170,0
Cold Spring Harbor Laboratory Press,2018,328,177,0
Cold Spring Harbor Laboratory Press,2019,321,182,0
Cold Spring Harbor Laboratory Press,2021,320,154,0
Royal Irish Academy,2021,230,0,0
Royal Irish Academy,2019,184,0,0
Royal Irish Academy,2018,182,0,0
Royal Irish Academy,2017,160,0,0
Royal Irish Academy,2020,151,0,0
