cr_year,esac_publisher,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2020,Springer Nature,33997,33918,23166,24126,30895,32907,Global
2020,Taylor & Francis,8660,363,5442,3628,179,8236,Global
2017,Taylor & Francis,4077,3977,1257,2158,11,3849,Global
2019,Taylor & Francis,6636,3285,3589,2573,79,6314,Global
2021,Taylor & Francis,15669,486,10580,7189,315,14731,Global
2018,Taylor & Francis,2834,1955,1423,1747,20,2691,Global
2022,Taylor & Francis,9678,366,6796,4897,181,9113,Global
2021,The Royal Society,60,60,59,55,60,59,Global
2020,The Royal Society,447,447,445,385,446,446,Global
2020,Walter de Gruyter,1270,1267,309,278,1028,998,Global
2018,Walter de Gruyter,425,416,26,12,304,357,Global
2022,Walter de Gruyter,834,831,302,11,663,664,Global
2017,Walter de Gruyter,379,379,10,5,263,313,Global
2019,Walter de Gruyter,667,663,72,59,525,558,Global
2021,Walter de Gruyter,1259,1252,422,15,1042,1052,Global
2020,Microbiology Society,3,0,3,2,3,3,Global
2021,Microbiology Society,13,0,9,9,12,13,Global
2018,Microbiology Society,3,0,0,0,3,3,Global
2022,Microbiology Society,61,0,54,36,53,59,Global
2017,Microbiology Society,1,0,0,0,1,1,Global
2019,Microbiology Society,6,0,4,0,6,6,Global
2019,Company of Biologists,42,0,40,38,40,40,Global
2017,Company of Biologists,29,0,27,25,27,27,Global
2021,Company of Biologists,284,0,281,280,283,283,Global
2018,Company of Biologists,38,0,37,35,37,37,Global
2022,Company of Biologists,184,0,182,183,183,183,Global
2020,Company of Biologists,63,0,60,59,60,60,Global
2020,Wolters Kluwer Health,46,15,4,14,1,45,Global
2022,Wolters Kluwer Health,221,0,221,4,208,200,Global
2017,Wolters Kluwer Health,52,35,0,5,0,51,Global
2018,Wolters Kluwer Health,31,9,0,2,0,30,Global
2019,Wolters Kluwer Health,45,11,1,13,1,44,Global
2021,Wolters Kluwer Health,260,0,219,39,202,258,Global
2021,Oxford University Press,8531,254,6016,5783,7477,7744,Global
2020,Oxford University Press,6086,432,3737,4432,5243,5696,Global
2019,Oxford University Press,4640,320,2571,3461,3547,4283,Global
2017,Oxford University Press,1757,138,430,1219,268,1670,Global
2018,Oxford University Press,3599,161,1382,2701,677,3419,Global
2022,Oxford University Press,3591,135,2772,2316,3103,3171,Global
2022,Trans Tech Publications,389,0,150,0,389,382,Global
2020,Trans Tech Publications,16,0,3,0,16,16,Global
2019,Trans Tech Publications,83,0,13,0,83,83,Global
2017,Trans Tech Publications,50,0,8,0,50,0,Global
2021,Trans Tech Publications,7,0,2,0,7,7,Global
2018,Trans Tech Publications,171,0,21,0,170,170,Global
2018,Bristol University Press,23,23,0,0,23,0,Global
2021,Bristol University Press,46,46,0,3,46,27,Global
2022,Bristol University Press,62,62,3,23,57,24,Global
2019,Bristol University Press,33,33,0,11,32,1,Global
2020,Bristol University Press,34,34,0,2,32,8,Global
2017,Bristol University Press,18,18,1,0,17,1,Global
2021,American Chemical Society,6297,24,6279,5675,0,6277,Global
2020,American Chemical Society,654,20,653,528,0,653,Global
2019,American Chemical Society,70,40,44,60,0,69,Global
2022,American Chemical Society,4167,15,4155,3789,0,4131,Global
2018,American Chemical Society,53,45,19,47,0,53,Global
2017,American Chemical Society,40,39,17,31,0,40,Global
2022,American Physical Society,2056,0,1925,1921,0,2050,Global
2018,American Physical Society,2744,0,0,2465,0,2727,Global
2020,American Physical Society,3425,0,3035,3144,0,3416,Global
2019,American Physical Society,2886,0,962,2617,0,2880,Global
2017,American Physical Society,438,0,0,395,0,423,Global
2021,American Physical Society,3472,0,3204,3238,0,3458,Global
2020,John Benjamins Publishing,75,0,46,0,74,75,Global
2022,John Benjamins Publishing,1224,0,292,0,715,984,Global
2021,John Benjamins Publishing,68,0,48,0,64,67,Global
2018,John Benjamins Publishing,9,0,5,0,6,9,Global
2017,John Benjamins Publishing,14,0,4,0,12,14,Global
2019,John Benjamins Publishing,45,0,31,0,43,45,Global
2018,Bentham Science Publishers,193,127,0,6,44,32,Global
2020,Bentham Science Publishers,1372,534,291,161,824,781,Global
2021,Bentham Science Publishers,1003,1003,302,139,562,403,Global
2019,Bentham Science Publishers,1228,98,97,174,621,742,Global
2022,Bentham Science Publishers,71,71,33,28,71,53,Global
2017,Bentham Science Publishers,14,7,0,0,2,0,Global
2021,Cambridge University Press,5350,154,4129,670,5097,5206,Global
2020,Cambridge University Press,3543,8,2461,0,2965,3449,Global
2018,Cambridge University Press,839,15,305,12,809,826,Global
2022,Cambridge University Press,3525,82,2857,976,3383,3422,Global
2017,Cambridge University Press,590,7,119,8,578,582,Global
2019,Cambridge University Press,1348,21,840,9,1282,1313,Global
2021,Royal Society of Chemistry,3663,38,3265,2938,3663,3265,Global
2022,Royal Society of Chemistry,2452,45,2119,2027,2451,2118,Global
2020,Royal Society of Chemistry,3310,0,2849,2538,3310,2860,Global
2018,Royal Society of Chemistry,2106,0,1776,1571,2104,1760,Global
2017,Royal Society of Chemistry,677,0,619,407,676,637,Global
2019,Royal Society of Chemistry,2579,0,2200,1943,2578,2190,Global
2022,Canadian Science Publishing,24,24,12,10,24,24,Global
2021,Canadian Science Publishing,1,1,1,1,1,1,Global
2020,The Electrochemical Society,873,873,708,599,842,869,Global
2019,The Electrochemical Society,815,45,814,496,45,814,Global
2018,The Electrochemical Society,651,0,641,458,0,651,Global
2022,The Electrochemical Society,364,364,363,271,363,363,Global
2021,The Electrochemical Society,630,630,628,431,562,628,Global
2022,European Respiratory Society,55,0,44,32,17,49,Global
2019,European Respiratory Society,40,0,32,28,32,40,Global
2021,European Respiratory Society,183,0,161,112,102,181,Global
2020,European Respiratory Society,261,0,199,125,90,261,Global
2018,European Respiratory Society,3,0,2,3,1,3,Global
2018,National Academy of Sciences,1166,0,833,884,1164,1166,Global
2021,National Academy of Sciences,1612,0,1583,1167,1534,1612,Global
2022,National Academy of Sciences,2174,0,2026,1568,1927,2173,Global
2019,National Academy of Sciences,1299,0,1067,1021,1261,1299,Global
2017,National Academy of Sciences,212,0,128,164,212,212,Global
2020,National Academy of Sciences,1564,0,1494,1183,1490,1564,Global
2019,The Geological Society of London,72,0,58,16,34,72,Global
2020,The Geological Society of London,67,0,65,12,54,67,Global
2021,The Geological Society of London,62,0,60,20,60,62,Global
2017,The Geological Society of London,79,1,15,7,40,79,Global
2018,The Geological Society of London,60,0,36,12,33,59,Global
2022,The Geological Society of London,40,0,38,6,39,32,Global
2018,Association for Computing Machinery,19,10,15,16,6,19,Global
2019,Association for Computing Machinery,44,24,36,34,16,44,Global
2022,Association for Computing Machinery,83,18,70,64,19,52,Global
2020,Association for Computing Machinery,91,37,70,66,40,89,Global
2021,Association for Computing Machinery,145,61,123,123,60,136,Global
2017,Association for Computing Machinery,36,25,9,25,6,36,Global
2021,Royal College of General Practitioners,104,0,9,0,93,104,Global
2022,Royal College of General Practitioners,62,0,16,0,50,62,Global
2020,Royal College of General Practitioners,93,0,16,0,87,93,Global
2019,IEEE,42,0,42,35,0,41,Germany
