issn_l,cr_year,cc,cc_total,jn_all,prop
2520-8071,2020,CC BY,1,1,1
0250-6882,2019,CC BY,1,1,1
1572-0373,2022,CC BY,1,1,1
2364-9461,2021,CC BY,1,1,1
1746-6202,2017,CC BY-NC,1,1,1
1746-6202,2021,CC BY-NC,1,1,1
0929-0907,2022,CC BY-NC,1,1,1
1868-5153,2018,CC BY,1,1,1
0300-693X,2022,CC BY,1,1,1
0814-5857,2022,CC BY-NC-ND,1,1,1
0065-101X,2022,CC BY,1,1,1
2590-3276,2022,CC BY,1,1,1
1746-6202,2020,CC BY-NC,1,1,1
0070-1998,2022,CC BY,1,1,1
2053-9320,2022,CC BY-NC-ND,1,1,1
0001-6969,2022,CC BY,1,1,1
2328-9554,2019,CC BY-NC-ND,1,1,1
1746-6202,2019,CC BY-NC,1,1,1
0886-3350,2022,NA,0,257,0
1083-6160,2018,NA,0,257,0
2474-9567,2018,NA,0,257,0
1567-1739,2017,NA,0,257,0
1746-8809,2021,NA,0,257,0
0022-2488,2022,NA,0,257,0
0025-1747,2019,NA,0,257,0
2040-2503,2019,CC BY,17,257,0.06614785992217899
1755-098X,2021,CC BY-NC-ND,17,257,0.06614785992217899
0029-8549,2019,CC BY,34,257,0.13229571984435798
2040-2503,2019,CC BY-NC,9,257,0.03501945525291829
0306-4573,2021,CC BY-NC-ND,9,257,0.03501945525291829
0301-9322,2021,CC BY-NC-ND,9,257,0.03501945525291829
2192-6506,2019,CC BY,5,257,0.019455252918287938
1477-5131,2022,CC BY,5,257,0.019455252918287938
2055-0278,2018,CC BY,5,257,0.019455252918287938
0022-1236,2017,CC BY,5,257,0.019455252918287938
1532-0464,2020,CC BY,5,257,0.019455252918287938
1059-910X,2020,CC BY,5,257,0.019455252918287938
1612-1872,2022,CC BY-NC-ND,5,257,0.019455252918287938
0003-598X,2017,CC BY,5,257,0.019455252918287938
2352-4855,2022,CC BY,5,257,0.019455252918287938
0895-4356,2018,CC BY,10,257,0.038910505836575876
1360-7863,2021,CC BY,10,257,0.038910505836575876
0267-9477,2018,CC BY,10,257,0.038910505836575876
1074-7613,2021,CC BY,20,257,0.07782101167315175
1755-098X,2021,CC BY,40,257,0.1556420233463035
