issn_l,cr_year,cc,cc_total,jn_all,prop
1435-6104,2019,CC BY,1,15,0.06666666666666667
0894-069X,2022,CC BY-NC-ND,1,15,0.06666666666666667
1750-7219,2022,CC BY,1,15,0.06666666666666667
1388-0292,2020,CC BY-NC-ND,1,15,0.06666666666666667
1040-6026,2021,CC BY-NC-ND,1,15,0.06666666666666667
0888-4064,2021,CC BY-NC,1,15,0.06666666666666667
1321-6597,2020,CC BY-NC-ND,1,15,0.06666666666666667
1937-8629,2021,CC BY,1,15,0.06666666666666667
1071-4413,2019,CC BY-NC-ND,1,15,0.06666666666666667
1540-1650,2022,CC BY-NC,1,15,0.06666666666666667
1540-1650,2022,CC BY,1,15,0.06666666666666667
1569-1322,2022,CC BY,1,15,0.06666666666666667
0301-7605,2022,CC BY-NC-ND,1,15,0.06666666666666667
1836-6503,2019,CC BY-NC-ND,1,15,0.06666666666666667
0038-0245,2022,CC BY-NC-ND,1,15,0.06666666666666667
2637-5451,2022,CC BY,1,15,0.06666666666666667
1750-8916,2022,CC BY-NC,1,15,0.06666666666666667
0019-8692,2022,CC BY-NC,1,15,0.06666666666666667
2213-4506,2019,CC BY,1,15,0.06666666666666667
1744-0572,2018,CC BY,1,15,0.06666666666666667
1976-1597,2022,CC BY-NC-ND,1,15,0.06666666666666667
1055-615X,2018,CC BY,1,15,0.06666666666666667
1058-3300,2022,CC BY-NC-ND,1,15,0.06666666666666667
2509-8829,2018,CC BY,1,15,0.06666666666666667
1752-1483,2021,CC BY,1,15,0.06666666666666667
0022-4200,2020,CC BY-NC,1,15,0.06666666666666667
1532-7957,2022,CC BY,1,15,0.06666666666666667
1861-2032,2018,CC BY,1,15,0.06666666666666667
1023-7267,2018,CC BY,1,15,0.06666666666666667
0076-6097,2019,CC BY-NC-ND,1,15,0.06666666666666667
1750-8916,2022,CC BY,1,15,0.06666666666666667
1058-3300,2022,CC BY,1,15,0.06666666666666667
0091-5521,2022,CC BY-NC,1,15,0.06666666666666667
1931-3152,2022,CC BY-NC-ND,1,15,0.06666666666666667
1543-4303,2022,CC BY-NC-ND,1,15,0.06666666666666667
0047-2662,2021,CC BY,1,15,0.06666666666666667
0918-7545,2020,CC BY-NC-ND,1,15,0.06666666666666667
2475-1979,2019,CC BY,1,15,0.06666666666666667
1555-5259,2018,CC BY-NC-ND,1,15,0.06666666666666667
1532-7957,2022,CC BY-NC,1,15,0.06666666666666667
2032-2844,2022,CC BY,1,15,0.06666666666666667
0035-3906,2021,CC BY-NC,1,15,0.06666666666666667
1355-6207,2022,CC BY-NC-ND,1,15,0.06666666666666667
0570-4928,2022,CC BY,1,15,0.06666666666666667
0197-3150,2020,CC BY,1,15,0.06666666666666667
2049-677X,2020,CC BY,1,15,0.06666666666666667
0003-3790,2022,CC BY,1,15,0.06666666666666667
2056-3035,2019,CC BY-NC-ND,1,15,0.06666666666666667
2158-2041,2022,CC BY,1,15,0.06666666666666667
1478-1700,2022,CC BY-NC-ND,1,15,0.06666666666666667
0929-9629,2022,CC BY,1,15,0.06666666666666667
1838-0743,2022,CC BY,1,15,0.06666666666666667
2249-720X,2022,CC BY,1,15,0.06666666666666667
0147-037X,2019,CC BY,1,15,0.06666666666666667
1793-8120,2019,CC BY,1,15,0.06666666666666667
1783-5917,2020,CC BY,1,15,0.06666666666666667
1443-2447,2017,CC BY,1,15,0.06666666666666667
1471-7727,2020,CC BY-NC-ND,1,15,0.06666666666666667
2542-5277,2020,CC BY-NC,1,15,0.06666666666666667
1478-1700,2022,CC BY,1,15,0.06666666666666667
1357-1516,2021,CC BY-NC-ND,1,15,0.06666666666666667
0925-8558,2021,CC BY,1,15,0.06666666666666667
1752-6272,2020,CC BY-NC-ND,1,15,0.06666666666666667
1569-3953,2019,CC BY-NC-ND,1,15,0.06666666666666667
2058-1831,2022,CC BY,1,15,0.06666666666666667
1050-8406,2018,CC BY-NC-ND,1,15,0.06666666666666667
1388-0292,2019,CC BY-NC-ND,1,15,0.06666666666666667
2159-032X,2019,CC BY,1,15,0.06666666666666667
1522-6379,2019,CC BY,1,15,0.06666666666666667
1923-6026,2021,CC BY-NC-ND,1,15,0.06666666666666667
1612-1651,2019,CC BY-NC-ND,1,15,0.06666666666666667
2367-2544,2019,CC BY,1,15,0.06666666666666667
0002-9319,2022,CC BY-NC,1,15,0.06666666666666667
2058-1831,2022,CC BY-NC-ND,1,15,0.06666666666666667
1744-9642,2022,CC BY,1,15,0.06666666666666667
2475-5303,2022,CC BY-NC,1,15,0.06666666666666667
0963-8024,2022,CC BY-NC-ND,1,15,0.06666666666666667
1740-6315,2018,CC BY-NC-ND,1,15,0.06666666666666667
1462-2459,2021,CC BY-NC-ND,1,15,0.06666666666666667
0038-2280,2022,CC BY,1,15,0.06666666666666667
0142-5242,2022,CC BY,1,15,0.06666666666666667
1090-8471,2022,CC BY,1,15,0.06666666666666667
0003-5696,2020,CC BY,1,15,0.06666666666666667
2058-458X,2018,CC BY-NC,1,15,0.06666666666666667
1752-1483,2020,CC BY-NC-ND,1,15,0.06666666666666667
1387-5868,2020,CC BY-NC-ND,1,15,0.06666666666666667
1359-6748,2022,CC BY,1,15,0.06666666666666667
2637-5451,2022,CC BY-NC-ND,1,15,0.06666666666666667
1466-2523,2018,CC BY,1,15,0.06666666666666667
0046-9750,2022,CC BY,1,15,0.06666666666666667
0162-1424,2022,CC BY-NC,1,15,0.06666666666666667
1923-6026,2021,CC BY,1,15,0.06666666666666667
1387-0874,2017,CC BY,1,15,0.06666666666666667
0039-7679,2020,CC BY-NC-ND,1,15,0.06666666666666667
2473-0580,2018,CC BY-NC-ND,1,15,0.06666666666666667
1878-6553,2017,CC BY,1,15,0.06666666666666667
0008-3976,2019,CC BY,1,15,0.06666666666666667
1523-2409,2019,CC BY,1,15,0.06666666666666667
1560-2745,2017,CC BY,1,15,0.06666666666666667
2160-6544,2022,CC BY,1,15,0.06666666666666667
1865-5025,2022,CC BY,1,15,0.06666666666666667
1383-5742,2022,CC BY-NC-ND,1,15,0.06666666666666667
2690-7240,2021,CC BY-NC-ND,1,15,0.06666666666666667
2196-5110,2020,CC BY,1,15,0.06666666666666667
0142-5242,2022,CC BY-NC-ND,1,15,0.06666666666666667
1744-1730,2018,CC BY-NC-ND,1,15,0.06666666666666667
0162-3532,2021,CC BY,1,15,0.06666666666666667
2673-298X,2019,CC BY-NC-ND,1,15,0.06666666666666667
0046-9750,2022,CC BY-NC,1,15,0.06666666666666667
1060-1503,2022,CC BY-NC-SA,1,15,0.06666666666666667
1064-9867,2021,CC BY-NC-ND,1,15,0.06666666666666667
1388-0292,2019,CC BY,1,15,0.06666666666666667
1934-5747,2018,CC BY-NC-ND,1,15,0.06666666666666667
2196-5110,2018,CC BY-NC-ND,1,15,0.06666666666666667
0003-4800,2022,CC BY,1,15,0.06666666666666667
0334-4355,2021,CC BY-NC-ND,1,15,0.06666666666666667
1551-823X,2021,CC BY-NC-ND,1,15,0.06666666666666667
2212-9421,2017,CC BY-NC-ND,1,15,0.06666666666666667
0929-998X,2022,CC BY-NC,1,15,0.06666666666666667
1943-4472,2017,CC BY-NC-ND,1,15,0.06666666666666667
0158-037X,2022,CC BY,1,15,0.06666666666666667
2589-1766,2022,CC BY,1,15,0.06666666666666667
0142-5242,2022,CC BY-NC,1,15,0.06666666666666667
0162-3532,2021,CC BY-NC,1,15,0.06666666666666667
0003-3790,2022,CC BY-NC-ND,1,15,0.06666666666666667
1385-3783,2022,CC BY,1,15,0.06666666666666667
2054-9555,2022,CC BY,1,15,0.06666666666666667
1752-1890,2020,CC BY,1,15,0.06666666666666667
2578-0727,2022,CC BY-NC-ND,1,15,0.06666666666666667
0260-3594,2021,CC BY,1,15,0.06666666666666667
1435-6163,2017,CC BY,1,15,0.06666666666666667
2211-9051,2022,CC BY,1,15,0.06666666666666667
1525-2019,2018,CC BY,1,15,0.06666666666666667
0963-6412,2022,CC BY,1,15,0.06666666666666667
1745-4832,2018,CC BY,1,15,0.06666666666666667
0022-4200,2020,CC BY-NC-ND,1,15,0.06666666666666667
1477-8351,2018,CC BY,1,15,0.06666666666666667
1944-4079,2019,CC BY,1,15,0.06666666666666667
0027-4631,2017,CC BY-NC,1,15,0.06666666666666667
0080-6757,2017,CC BY,1,15,0.06666666666666667
2475-1979,2019,CC BY-NC-ND,1,15,0.06666666666666667
0974-7338,2018,CC BY-NC-ND,1,15,0.06666666666666667
2509-3436,2021,CC BY,1,15,0.06666666666666667
0261-9768,2022,CC BY,1,15,0.06666666666666667
1878-6553,2017,CC BY-NC,1,15,0.06666666666666667
0164-0313,2022,CC BY,1,15,0.06666666666666667
2032-2844,2022,CC BY-NC,1,15,0.06666666666666667
2329-8766,2017,CC BY-NC-ND,1,15,0.06666666666666667
1744-1056,2019,CC BY,1,15,0.06666666666666667
2215-1478,2021,CC BY-NC,1,15,0.06666666666666667
1931-5872,2019,CC BY-NC-ND,1,15,0.06666666666666667
2054-9555,2022,CC BY-NC-ND,1,15,0.06666666666666667
1365-7305,2022,CC BY-NC-ND,1,15,0.06666666666666667
1878-4631,2020,CC BY-NC-ND,1,15,0.06666666666666667
1368-0005,2018,CC BY,1,15,0.06666666666666667
1022-5706,2020,CC BY-NC-ND,1,15,0.06666666666666667
1528-8870,2020,CC BY-NC-SA,1,15,0.06666666666666667
1465-7341,2022,CC BY,1,15,0.06666666666666667
0263-3264,2020,CC BY-NC-ND,1,15,0.06666666666666667
1875-4104,2021,CC BY,1,15,0.06666666666666667
0950-6608,2019,CC BY,1,15,0.06666666666666667
0895-2833,2022,CC BY-NC-ND,1,15,0.06666666666666667
0046-9750,2022,CC BY-NC-ND,1,15,0.06666666666666667
1759-7536,2021,CC BY,1,15,0.06666666666666667
0193-936X,2019,CC BY-NC,2,15,0.13333333333333333
0929-6174,2021,CC BY-NC-ND,2,15,0.13333333333333333
1387-6473,2021,CC BY-NC-ND,2,15,0.13333333333333333
0213-4748,2022,CC BY-NC-ND,2,15,0.13333333333333333
1744-9626,2022,CC BY,2,15,0.13333333333333333
1550-2716,2022,CC BY,2,15,0.13333333333333333
0971-8524,2022,CC BY-NC-ND,2,15,0.13333333333333333
0019-8692,2022,CC BY-NC-ND,2,15,0.13333333333333333
1752-1890,2020,CC BY-NC-ND,2,15,0.13333333333333333
0963-8024,2022,CC BY,2,15,0.13333333333333333
2524-5600,2020,CC BY,2,15,0.13333333333333333
0869-5938,2022,CC BY,2,15,0.13333333333333333
1944-4079,2019,CC BY-NC-ND,2,15,0.13333333333333333
0042-7543,2020,CC BY,2,15,0.13333333333333333
1475-9551,2022,CC BY,2,15,0.13333333333333333
0954-1314,2022,CC BY-NC-ND,2,15,0.13333333333333333
1943-4472,2022,CC BY-NC-ND,2,15,0.13333333333333333
2041-9112,2021,CC BY-NC-ND,2,15,0.13333333333333333
1082-6076,2022,CC BY-NC-ND,2,15,0.13333333333333333
2511-1299,2019,CC BY,2,15,0.13333333333333333
2049-677X,2020,CC BY-NC-ND,2,15,0.13333333333333333
1361-4568,2021,CC BY,2,15,0.13333333333333333
0971-8524,2019,CC BY,2,15,0.13333333333333333
2578-0727,2022,CC BY,2,15,0.13333333333333333
2516-1067,2022,CC BY,2,15,0.13333333333333333
1746-918X,2022,CC BY,2,15,0.13333333333333333
2524-5252,2020,CC BY,2,15,0.13333333333333333
0971-8524,2022,CC BY,2,15,0.13333333333333333
0039-0402,2022,CC BY-NC-ND,2,15,0.13333333333333333
1016-6262,2022,CC BY,2,15,0.13333333333333333
2154-1248,2020,CC BY,2,15,0.13333333333333333
2194-072X,2019,CC BY,2,15,0.13333333333333333
0304-0941,2022,CC BY,2,15,0.13333333333333333
1945-5224,2022,CC BY-NC-ND,2,15,0.13333333333333333
2367-1734,2018,CC BY,2,15,0.13333333333333333
0954-1985,2022,CC BY-NC-ND,2,15,0.13333333333333333
1554-964X,2020,CC BY,2,15,0.13333333333333333
1931-2458,2021,CC BY,2,15,0.13333333333333333
1043-4062,2018,CC BY,2,15,0.13333333333333333
0305-7240,2022,CC BY-NC-ND,2,15,0.13333333333333333
2637-5451,2021,CC BY-NC-ND,2,15,0.13333333333333333
2212-0122,2018,CC BY,2,15,0.13333333333333333
1537-7857,2020,CC BY-NC-ND,2,15,0.13333333333333333
0971-8524,2018,CC BY,2,15,0.13333333333333333
1528-8870,2020,CC BY-NC-ND,2,15,0.13333333333333333
0950-6608,2019,CC BY-NC-ND,2,15,0.13333333333333333
1744-2222,2022,CC BY,2,15,0.13333333333333333
0305-9006,2021,CC BY-NC-ND,2,15,0.13333333333333333
1863-8171,2019,CC BY,2,15,0.13333333333333333
0971-8524,2019,CC BY-NC-ND,2,15,0.13333333333333333
1759-7536,2021,CC BY-NC-ND,2,15,0.13333333333333333
1360-9939,2019,CC BY,2,15,0.13333333333333333
2574-1136,2021,CC BY-NC-ND,2,15,0.13333333333333333
1550-2716,2022,CC BY-NC-ND,2,15,0.13333333333333333
2468-6964,2019,CC BY,2,15,0.13333333333333333
2351-9916,2022,CC BY,2,15,0.13333333333333333
0736-9387,2017,CC BY,2,15,0.13333333333333333
0019-8676,2022,CC BY-NC-ND,2,15,0.13333333333333333
1060-1503,2022,CC BY,2,15,0.13333333333333333
2044-3994,2022,CC BY-NC-ND,2,15,0.13333333333333333
1361-4568,2021,CC BY-NC-ND,2,15,0.13333333333333333
2639-5355,2021,CC BY,2,15,0.13333333333333333
0076-6097,2021,CC BY-NC-ND,2,15,0.13333333333333333
0022-0272,2022,CC BY,2,15,0.13333333333333333
1477-8351,2021,CC BY,2,15,0.13333333333333333
0003-4800,2022,CC BY-NC-ND,2,15,0.13333333333333333
0079-1636,2022,CC BY-NC-ND,2,15,0.13333333333333333
0160-3477,2022,CC BY-NC-ND,2,15,0.13333333333333333
0954-1314,2022,CC BY,2,15,0.13333333333333333
1872-0218,2022,CC BY,2,15,0.13333333333333333
1877-9751,2022,CC BY,2,15,0.13333333333333333
1461-6688,2022,CC BY-NC-ND,2,15,0.13333333333333333
1661-8297,2022,CC BY,2,15,0.13333333333333333
1931-3152,2022,CC BY,2,15,0.13333333333333333
1060-4367,2022,CC BY-NC-ND,2,15,0.13333333333333333
1368-8790,2022,CC BY,2,15,0.13333333333333333
2380-6567,2022,CC BY-NC,4,15,0.26666666666666666
1084-2020,2021,CC BY-NC,4,15,0.26666666666666666
1683-478X,2022,CC BY-NC-ND,4,15,0.26666666666666666
2199-6784,2020,CC BY,4,15,0.26666666666666666
0954-1985,2022,CC BY,4,15,0.26666666666666666
1387-6473,2021,CC BY,4,15,0.26666666666666666
1389-2576,2022,CC BY,4,15,0.26666666666666666
1368-8790,2022,CC BY-NC-ND,4,15,0.26666666666666666
1838-0743,2022,CC BY-NC-ND,4,15,0.26666666666666666
1528-8870,2021,CC BY,4,15,0.26666666666666666
2351-9916,2021,CC BY,4,15,0.26666666666666666
1321-2753,2021,CC BY,4,15,0.26666666666666666
1744-9626,2022,CC BY-NC-ND,4,15,0.26666666666666666
0022-0272,2022,CC BY-NC-ND,4,15,0.26666666666666666
2212-0122,2021,CC BY,4,15,0.26666666666666666
1060-4367,2022,CC BY,4,15,0.26666666666666666
1865-1984,2022,CC BY,4,15,0.26666666666666666
1528-8870,2020,CC BY,4,15,0.26666666666666666
2050-8840,2019,CC BY-NC-ND,4,15,0.26666666666666666
2198-6096,2022,CC BY,4,15,0.26666666666666666
0957-4239,2021,CC BY,4,15,0.26666666666666666
0261-9768,2022,CC BY-NC-ND,4,15,0.26666666666666666
0019-8676,2022,CC BY,4,15,0.26666666666666666
0019-8692,2022,CC BY,4,15,0.26666666666666666
2468-6034,2021,CC BY,8,15,0.5333333333333333
0943-0180,2022,CC BY,8,15,0.5333333333333333
0013-063X,2022,CC BY,8,15,0.5333333333333333
1018-5895,2022,CC BY,8,15,0.5333333333333333
2662-9720,2022,CC BY,8,15,0.5333333333333333
2662-4087,2022,CC BY,8,15,0.5333333333333333
0309-7013,2021,CC BY,9,15,0.6
0008-1256,2022,CC BY,9,15,0.6
1744-9642,2022,CC BY-NC-ND,9,15,0.6
0159-7868,2022,CC BY,9,15,0.6
2044-3994,2022,CC BY,5,15,0.3333333333333333
0304-3843,2022,CC BY,5,15,0.3333333333333333
0034-6764,2022,CC BY-NC-ND,5,15,0.3333333333333333
2662-9720,2020,CC BY,5,15,0.3333333333333333
1478-0917,2022,CC BY-NC-ND,5,15,0.3333333333333333
1752-1483,2022,CC BY-NC-ND,5,15,0.3333333333333333
0025-1003,2022,CC BY,5,15,0.3333333333333333
0167-5249,2018,CC BY,5,15,0.3333333333333333
0340-8744,2022,CC BY,5,15,0.3333333333333333
0158-037X,2022,CC BY-NC-ND,5,15,0.3333333333333333
0070-1998,2021,CC BY,5,15,0.3333333333333333
2380-6567,2022,CC BY-NC-ND,5,15,0.3333333333333333
2158-2041,2022,CC BY-NC-ND,5,15,0.3333333333333333
0304-3487,2020,CC BY,5,15,0.3333333333333333
2524-5317,2022,CC BY,5,15,0.3333333333333333
2632-6663,2021,CC BY,10,15,0.6666666666666666
2730-5732,2020,CC BY,10,15,0.6666666666666666
2365-5135,2022,CC BY,11,15,0.7333333333333333
2522-5987,2020,CC BY,11,15,0.7333333333333333
1871-5230,2019,CC BY,11,15,0.7333333333333333
1090-4018,2022,CC BY-NC-ND,3,15,0.2
1555-5879,2020,CC BY,3,15,0.2
1878-4631,2020,CC BY,3,15,0.2
2399-7532,2019,CC BY,3,15,0.2
1558-3716,2022,CC BY-NC-ND,3,15,0.2
1502-1866,2020,CC BY-NC-ND,3,15,0.2
1553-3832,2021,CC BY,3,15,0.2
2154-1248,2020,CC BY-NC-ND,3,15,0.2
2199-6784,2018,CC BY,3,15,0.2
2673-298X,2019,CC BY,3,15,0.2
0272-4960,2022,CC BY,3,15,0.2
0079-1636,2022,CC BY,3,15,0.2
0039-0402,2022,CC BY,3,15,0.2
0925-9856,2018,CC BY,3,15,0.2
0924-1868,2018,CC BY,3,15,0.2
0922-6443,2020,CC BY,3,15,0.2
1554-7191,2022,CC BY,3,15,0.2
0814-5857,2020,CC BY-NC-ND,3,15,0.2
0925-854X,2021,CC BY,3,15,0.2
0038-2280,2022,CC BY-NC-ND,3,15,0.2
2330-8249,2022,CC BY-NC-ND,3,15,0.2
1021-7762,2022,CC BY-NC,3,15,0.2
2160-6544,2022,CC BY-NC-ND,3,15,0.2
1752-1483,2021,CC BY-NC-ND,3,15,0.2
0079-497X,2021,CC BY,3,15,0.2
0070-1998,2021,CC BY-NC-ND,3,15,0.2
0021-4027,2020,CC BY,3,15,0.2
2054-4170,2022,CC BY-NC-ND,3,15,0.2
1600-910X,2022,CC BY-NC-ND,3,15,0.2
0570-4928,2022,CC BY-NC-ND,3,15,0.2
1309-422X,2019,CC BY,3,15,0.2
0079-6727,2017,CC BY-NC-ND,3,15,0.2
2405-8351,2022,CC BY,3,15,0.2
0967-0769,2021,CC BY,3,15,0.2
1479-4012,2022,CC BY,3,15,0.2
2147-429X,2019,CC BY,3,15,0.2
2365-1695,2017,CC BY,3,15,0.2
1528-8870,2021,CC BY-NC-ND,3,15,0.2
0263-3264,2020,CC BY,3,15,0.2
2380-8977,2021,CC BY-NC-ND,3,15,0.2
1868-9612,2021,CC BY,3,15,0.2
0963-6412,2022,CC BY-NC-ND,3,15,0.2
0814-6039,2022,CC BY,3,15,0.2
2263-8733,2018,CC BY,3,15,0.2
0920-8550,2022,CC BY,3,15,0.2
1349-4961,2022,CC BY,3,15,0.2
2364-6861,2021,CC BY,3,15,0.2
2380-6567,2022,CC BY,3,15,0.2
1093-7404,2020,CC BY-NC-ND,3,15,0.2
0162-1424,2022,CC BY-NC-ND,3,15,0.2
1387-0874,2022,CC BY,3,15,0.2
1525-2019,2022,CC BY-NC-ND,3,15,0.2
1748-4995,2022,CC BY,3,15,0.2
2405-4658,2021,CC BY,3,15,0.2
0894-069X,2022,CC BY,3,15,0.2
2425-6870,2019,CC BY,3,15,0.2
2058-458X,2018,CC BY,3,15,0.2
1387-2842,2022,CC BY,6,15,0.4
1863-4613,2022,CC BY,6,15,0.4
1876-4045,2021,CC BY,6,15,0.4
2196-5609,2022,CC BY,6,15,0.4
2167-4825,2021,CC BY,6,15,0.4
1613-7159,2022,CC BY,6,15,0.4
1475-9551,2022,CC BY-NC-ND,6,15,0.4
0933-1719,2022,CC BY,6,15,0.4
2520-100X,2022,CC BY,6,15,0.4
0025-1534,2022,CC BY,6,15,0.4
2167-4876,2020,CC BY,6,15,0.4
0001-8244,2022,CC BY,6,15,0.4
2510-2044,2019,CC BY,6,15,0.4
2050-1242,2022,CC BY,6,15,0.4
2511-1299,2022,CC BY,6,15,0.4
1134-5764,2022,CC BY,6,15,0.4
1383-7133,2022,CC BY,6,15,0.4
1755-876X,2021,CC BY-NC-ND,6,15,0.4
0934-9839,2022,CC BY,6,15,0.4
0939-608X,2020,CC BY,13,15,0.8666666666666667
1478-0917,2022,CC BY-NC,7,15,0.4666666666666667
0926-8782,2022,CC BY,7,15,0.4666666666666667
0304-3487,2021,CC BY,7,15,0.4666666666666667
0079-497X,2019,CC BY,7,15,0.4666666666666667
1931-2458,2021,CC BY-NC-ND,7,15,0.4666666666666667
2662-7140,2022,CC BY,7,15,0.4666666666666667
0033-5835,2017,CC BY,7,15,0.4666666666666667
0863-1808,2022,CC BY,14,15,0.9333333333333333
1867-0180,2022,CC BY,14,15,0.9333333333333333
0031-921X,2017,NA,0,271,0
0010-3624,2018,NA,0,271,0
0730-0301,2020,NA,0,271,0
1077-4114,2017,NA,0,271,0
1558-2027,2020,NA,0,271,0
1364-5021,2017,NA,0,271,0
0361-0918,2018,NA,0,271,0
1439-6319,2017,CC BY,46,271,0.16974169741697417
1387-3547,2021,CC BY,68,271,0.25092250922509224
1549-3296,2018,CC BY-NC,7,271,0.025830258302583026
0273-2300,2018,CC BY,28,271,0.1033210332103321
1369-703X,2022,CC BY,11,271,0.04059040590405904
0885-6087,2019,CC BY,22,271,0.08118081180811808
0364-3190,2018,CC BY,21,271,0.07749077490774908
1387-3547,2019,CC BY,42,271,0.15498154981549817
0016-6731,2020,CC BY-NC,1,271,0.0036900369003690036
1549-3296,2018,CC BY,1,271,0.0036900369003690036
0001-2092,2017,CC BY-NC-ND,1,271,0.0036900369003690036
0016-6731,2020,CC BY-NC-ND,1,271,0.0036900369003690036
1043-4666,2017,CC BY,1,271,0.0036900369003690036
1460-2393,2017,CC BY,1,271,0.0036900369003690036
0884-0431,2018,CC BY-NC,2,271,0.007380073800738007
1549-3296,2018,CC BY-NC-ND,2,271,0.007380073800738007
0902-0063,2017,CC BY-NC-ND,2,271,0.007380073800738007
0916-8451,2018,CC BY-NC-ND,2,271,0.007380073800738007
0005-2736,2018,CC BY,4,271,0.014760147601476014
0304-4165,2018,CC BY-NC-ND,4,271,0.014760147601476014
0264-9993,2018,CC BY,4,271,0.014760147601476014
0306-4565,2021,CC BY,8,271,0.02952029520295203
0884-0431,2018,CC BY-NC-ND,8,271,0.02952029520295203
0306-4565,2021,CC BY-NC-ND,8,271,0.02952029520295203
0105-4538,2017,CC BY-NC,8,271,0.02952029520295203
1388-0764,2019,CC BY,16,271,0.05904059040590406
0300-5712,2022,CC BY,26,271,0.0959409594095941
0300-5712,2022,CC BY-NC-ND,109,271,0.4022140221402214
1369-703X,2022,CC BY-NC-ND,5,271,0.01845018450184502
0105-4538,2017,CC BY-NC-ND,5,271,0.01845018450184502
1063-7788,2021,CC BY,5,271,0.01845018450184502
0273-2289,2019,CC BY,5,271,0.01845018450184502
0885-6087,2019,CC BY-NC-ND,5,271,0.01845018450184502
0304-4165,2018,CC BY,5,271,0.01845018450184502
1043-4666,2017,CC BY-NC-ND,5,271,0.01845018450184502
0885-6087,2019,CC BY-NC,5,271,0.01845018450184502
0105-4538,2017,CC BY,10,271,0.03690036900369004
0884-0431,2018,CC BY,25,271,0.09225092250922509
1525-2027,2018,CC BY,19,271,0.07011070110701106
0016-6731,2020,CC BY,3,271,0.01107011070110701
0033-3506,2019,CC BY,3,271,0.01107011070110701
0284-1851,2020,CC BY-NC,6,271,0.02214022140221402
0284-1851,2020,CC BY,6,271,0.02214022140221402
1082-6084,2019,CC BY-NC-ND,6,271,0.02214022140221402
0902-0063,2017,CC BY-NC,6,271,0.02214022140221402
0264-9993,2018,CC BY-NC-ND,6,271,0.02214022140221402
0005-2736,2018,CC BY-NC-ND,12,271,0.04428044280442804
0273-2300,2018,CC BY-NC-ND,48,271,0.17712177121771217
1544-3191,2021,CC BY-NC-ND,9,271,0.033210332103321034
0033-3506,2019,CC BY-NC-ND,18,271,0.06642066420664207
1525-2027,2018,CC BY-NC-ND,36,271,0.13284132841328414
1439-0108,2021,CC BY,29,271,0.1070110701107011
0301-1623,2018,CC BY,29,271,0.1070110701107011
0363-9762,2021,NA,0,527,0
1567-5688,2018,NA,0,527,0
1354-1013,2020,CC BY,132,527,0.2504743833017078
1549-9596,2019,CC BY-NC-ND,1,527,0.0018975332068311196
0022-1899,2021,CC BY-NC-ND,56,527,0.1062618595825427
1470-2045,2020,CC BY,13,527,0.024667931688804556
1354-1013,2020,CC BY-NC-ND,13,527,0.024667931688804556
1998-0000,2018,CC BY,13,527,0.024667931688804556
0022-1899,2021,CC BY,25,527,0.04743833017077799
1012-0394,2020,CC BY,6,527,0.011385199240986717
1470-2045,2020,CC BY-NC-ND,6,527,0.011385199240986717
0363-5465,2021,CC BY-NC-ND,21,527,0.03984819734345351
0363-5465,2021,CC BY,18,527,0.03415559772296015
1354-1013,2020,CC BY-NC,17,527,0.03225806451612903
0029-5515,2017,CC BY,37,527,0.07020872865275142
1746-8094,2021,CC BY-NC-ND,22,783,0.0280970625798212
0925-3467,2018,CC BY-NC-ND,2,783,0.002554278416347382
0003-9993,2021,CC BY-NC-ND,14,783,0.017879948914431672
1746-8094,2021,CC BY,27,783,0.034482758620689655
0003-9993,2021,CC BY,13,783,0.016602809706257982
0223-5234,2018,CC BY-NC-ND,6,1039,0.005774783445620789
0223-5234,2018,CC BY,5,1039,0.004812319538017324
0141-8130,2022,CC BY-NC-ND,40,1807,0.02213613724405091
0141-8130,2022,CC BY,27,1807,0.014941892639734366
1959-7568,2022,NA,0,16,0
1755-4195,2017,NA,0,16,0
0261-9288,2019,NA,0,16,0
1434-2944,2017,NA,0,16,0
2214-4463,2018,NA,0,16,0
2232-1950,2021,NA,0,16,0
1573-1782,2017,NA,0,16,0
2661-863X,2019,NA,0,16,0
1472-8214,2022,NA,0,16,0
1475-262X,2019,NA,0,16,0
1425-6908,2022,NA,0,16,0
0737-6146,2017,NA,0,16,0
2045-2101,2020,NA,0,16,0
2235-8668,2017,NA,0,16,0
1871-2673,2021,NA,0,16,0
1524-0703,2022,NA,0,16,0
1088-9868,2017,NA,0,16,0
1998-7773,2017,NA,0,16,0
1059-986X,2020,NA,0,16,0
1573-9414,2018,NA,0,16,0
1477-5700,2017,NA,0,16,0
2059-0784,2017,NA,0,16,0
1035-6908,2019,NA,0,16,0
0961-7353,2021,NA,0,16,0
2516-5984,2018,NA,0,16,0
2395-7611,2017,NA,0,16,0
1478-7318,2020,NA,0,16,0
1553-3832,2020,NA,0,16,0
2529-9840,2022,NA,0,16,0
2456-3714,2021,NA,0,16,0
0161-7109,2017,NA,0,16,0
2199-4374,2019,NA,0,16,0
0971-8524,2017,NA,0,16,0
1023-0807,2019,NA,0,16,0
2376-1199,2019,NA,0,16,0
1944-2890,2019,NA,0,16,0
1057-0837,2022,NA,0,16,0
2155-1790,2018,NA,0,16,0
2405-9854,2018,NA,0,16,0
1019-2557,2019,NA,0,16,0
1057-3569,2022,NA,0,16,0
0974-9276,2019,NA,0,16,0
2210-2116,2017,NA,0,16,0
1532-7957,2018,NA,0,16,0
1060-586X,2017,NA,0,16,0
0084-5302,2018,NA,0,16,0
