cr_year,cat,article_total,name,oa_articles,oa_share
2017,Global,16307,Crossref,959,0.05880910038633715
2017,Global,16307,Unpaywall,990,0.060710124486416876
2018,Global,16263,Crossref,1038,0.06382586238701346
2018,Global,16263,Unpaywall,1044,0.06419479800774765
2019,Global,15577,Crossref,1193,0.07658727611221673
2019,Global,15577,Unpaywall,1201,0.07710085382294408
2020,Global,17652,Crossref,1919,0.10871289372309087
2020,Global,17652,Unpaywall,1927,0.10916610015862226
2021,Global,17075,Crossref,2386,0.13973645680819913
2021,Global,17075,Unpaywall,2408,0.14102489019033676
2022,Global,15444,Crossref,2804,0.18155918155918155
2022,Global,15444,Unpaywall,2771,0.17942242942242942
2023,Global,16056,Crossref,4307,0.268248629795715
2023,Global,16056,Unpaywall,4339,0.2702416542102641
2024,Global,22366,Crossref,6039,0.2700080479298936
2024,Global,22366,Unpaywall,6139,0.2744791200929983
