cr_year,jn_all,cc,cc_total,prop
2017,16347,CC BY,305,0.018657857710894964
2017,16347,CC BY-SA,0,0
2017,16347,CC BY-NC,4,2.446932158805897e-4
2017,16347,CC BY-NC-SA,1,6.117330397014743e-5
2017,16347,CC BY-ND,0,0
2017,16347,CC BY-NC-ND,581,0.03554168960665566
2018,16332,CC BY,339,0.020756796473181485
2018,16332,CC BY-SA,0,0
2018,16332,CC BY-NC,12,7.347538574577516e-4
2018,16332,CC BY-NC-SA,0,0
2018,16332,CC BY-ND,0,0
2018,16332,CC BY-NC-ND,717,0.04390154298310066
2019,15775,CC BY,433,0.02744849445324881
2019,15775,CC BY-SA,0,0
2019,15775,CC BY-NC,13,8.240887480190174e-4
2019,15775,CC BY-NC-SA,1,6.339144215530903e-5
2019,15775,CC BY-ND,0,0
2019,15775,CC BY-NC-ND,807,0.05115689381933439
2020,14927,CC BY,591,0.039592684397400685
2020,14927,CC BY-SA,0,0
2020,14927,CC BY-NC,16,0.0010718831647350438
2020,14927,CC BY-NC-SA,0,0
2020,14927,CC BY-ND,0,0
2020,14927,CC BY-NC-ND,998,0.06685871240034837
2021,15200,CC BY,1182,0.07776315789473684
2021,15200,CC BY-SA,0,0
2021,15200,CC BY-NC,14,9.210526315789473e-4
2021,15200,CC BY-NC-SA,1,6.578947368421052e-5
2021,15200,CC BY-ND,0,0
2021,15200,CC BY-NC-ND,1278,0.08407894736842106
2022,13312,CC BY,1557,0.11696213942307693
2022,13312,CC BY-SA,0,0
2022,13312,CC BY-NC,69,0.005183293269230769
2022,13312,CC BY-NC-SA,0,0
2022,13312,CC BY-ND,0,0
2022,13312,CC BY-NC-ND,1179,0.08856670673076923
2023,13014,CC BY,1811,0.13915783002919932
2023,13014,CC BY-SA,0,0
2023,13014,CC BY-NC,155,0.011910250499462118
2023,13014,CC BY-NC-SA,0,0
2023,13014,CC BY-ND,0,0
2023,13014,CC BY-NC-ND,1143,0.08782849239280774
2024,13028,CC BY,5601,0.42992017193736565
2024,13028,CC BY-SA,0,0
2024,13028,CC BY-NC,1101,0.08451028553883942
2024,13028,CC BY-NC-SA,0,0
2024,13028,CC BY-ND,0,0
2024,13028,CC BY-NC-ND,1662,0.12757138470985568
2025,12408,CC BY,7429,0.5987266279819471
2025,12408,CC BY-SA,0,0
2025,12408,CC BY-NC,661,0.053272082527401676
2025,12408,CC BY-NC-SA,1,8.059316569954868e-5
2025,12408,CC BY-ND,0,0
2025,12408,CC BY-NC-ND,1120,0.09026434558349453
2026,3971,CC BY,2802,0.7056157139259632
2026,3971,CC BY-SA,0,0
2026,3971,CC BY-NC,68,0.017124150088139008
2026,3971,CC BY-NC-SA,0,0
2026,3971,CC BY-ND,0,0
2026,3971,CC BY-NC-ND,139,0.03500377738604885
