cr_year,country_name,cc_total,articles,prop
2017,Eswatini,0,3,0
2017,Togo,0,21,0
2017,Thailand,32,1827,0.01751505199781062
2017,Tajikistan,0,8,0
2017,Timor-Leste,0,1,0
2017,Turkmenistan,0,3,0
2017,Tunisia,14,2065,0.006779661016949152
2017,Tonga,0,1,0
2017,Turkey,27,5171,0.005221427190098627
2017,Trinidad & Tobago,1,25,0.04
2017,Taiwan,48,4589,0.010459795162344738
2017,Tanzania,4,66,0.06060606060606061
2017,Ukraine,4,590,0.006779661016949152
2017,Uganda,8,72,0.1111111111111111
2017,United States,2691,83175,0.03235347159603246
2017,Uruguay,0,197,0
2017,Uzbekistan,0,113,0
2017,St. Vincent & Grenadines,0,1,0
2017,Venezuela,1,130,0.007692307692307693
2017,Vietnam,8,598,0.013377926421404682
2017,Samoa,0,1,0
2017,Yemen,0,40,0
2017,South Africa,325,2364,0.1374788494077834
2017,Zambia,1,18,0.05555555555555555
2017,Zimbabwe,6,51,0.11764705882352941
2018,Andorra,0,2,0
2018,United Arab Emirates,9,475,0.018947368421052633
2018,Afghanistan,0,9,0
2018,Antigua & Barbuda,0,3,0
2018,Albania,0,19,0
2018,Armenia,0,60,0
2018,Angola,0,2,0
2018,Argentina,14,2044,0.00684931506849315
2018,Austria,270,2296,0.11759581881533102
2018,Australia,314,12305,0.0255180820804551
2018,Azerbaijan,2,55,0.03636363636363636
2018,Bosnia & Herzegovina,0,51,0
2018,Barbados,0,6,0
2018,Bangladesh,10,408,0.024509803921568627
2018,Belgium,215,3881,0.055398093274929144
2018,Burkina Faso,3,48,0.0625
2018,Bulgaria,4,282,0.014184397163120567
2018,Bahrain,1,25,0.04
2018,Burundi,0,6,0
2018,Benin,4,52,0.07692307692307693
2018,Bermuda,0,1,0
2018,Brunei,0,35,0
2018,Bolivia,0,15,0
2018,Brazil,76,11316,0.00671615411806292
2018,Bahamas,0,4,0
2018,Bhutan,1,3,0.3333333333333333
2018,Botswana,1,48,0.020833333333333332
2018,Belarus,1,100,0.01
2018,Belize,0,1,0
2018,Canada,455,12949,0.0351378484825083
2018,Congo - Kinshasa,2,32,0.0625
2018,Central African Republic,0,2,0
2018,Congo - Brazzaville,2,13,0.15384615384615385
2018,Switzerland,372,4067,0.09146791246619129
2018,Côte d’Ivoire,4,50,0.08
2018,Chile,31,1329,0.023325808878856283
2018,Cameroon,3,215,0.013953488372093023
2018,China,760,99552,0.007634201221472196
2018,Colombia,16,1060,0.01509433962264151
2018,Costa Rica,4,70,0.05714285714285714
2018,Cuba,6,124,0.04838709677419355
2018,Cape Verde,0,1,0
2018,Cyprus,3,306,0.00980392156862745
2018,Czechia,41,2209,0.018560434585785424
2018,Germany,1044,15944,0.06547917711991971
2018,Djibouti,0,2,0
2018,Denmark,186,3019,0.06160980457105002
2018,Dominica,0,3,0
2018,Dominican Republic,1,4,0.25
2018,Algeria,4,1085,0.003686635944700461
2018,Ecuador,5,203,0.024630541871921183
2018,Estonia,5,249,0.020080321285140562
2018,Egypt,28,2937,0.009533537623425264
2018,Spain,374,15888,0.023539778449144007
2018,Ethiopia,11,203,0.054187192118226604
2018,Finland,313,2176,0.14384191176470587
2018,Fiji,1,28,0.03571428571428571
2018,Falkland Islands,0,3,0
2018,Faroe Islands,0,8,0
2018,France,344,18932,0.01817029368265371
2018,Gabon,1,14,0.07142857142857142
2018,United Kingdom,3837,20520,0.18698830409356726
2018,Grenada,0,10,0
2018,Georgia,1,126,0.007936507936507936
2018,French Guiana,1,11,0.09090909090909091
2018,Ghana,10,187,0.053475935828877004
2018,Gibraltar,0,1,0
2018,Greenland,0,5,0
2018,Gambia,2,4,0.5
2018,Guinea,0,3,0
2018,Guadeloupe,1,19,0.05263157894736842
2018,Greece,27,2376,0.011363636363636364
2018,Guatemala,0,14,0
2018,Guinea-Bissau,0,3,0
2018,Honduras,1,9,0.1111111111111111
2018,Croatia,18,524,0.03435114503816794
2018,Haiti,0,1,0
2018,Hungary,47,1063,0.04421448730009407
2018,Indonesia,23,521,0.044145873320537425
2018,Ireland,54,1520,0.035526315789473684
2018,Israel,41,2575,0.015922330097087378
2018,India,143,19602,0.007295173961840628
2018,Iraq,11,453,0.024282560706401765
2018,Iran,27,11048,0.002443881245474294
2018,Iceland,9,116,0.07758620689655173
2018,Italy,563,15381,0.03660360184643391
2018,Jersey,0,1,0
2018,Jamaica,0,20,0
2018,Jordan,2,359,0.005571030640668524
2018,Japan,657,14719,0.04463618452340512
2018,Kenya,31,144,0.2152777777777778
2018,Kyrgyzstan,0,7,0
2018,Cambodia,1,39,0.02564102564102564
2018,St. Kitts & Nevis,3,10,0.3
2018,South Korea,136,12308,0.011049723756906077
2018,Kuwait,3,183,0.01639344262295082
2018,Kazakhstan,2,107,0.018691588785046728
2018,Laos,1,5,0.2
2018,Lebanon,5,402,0.012437810945273632
2018,Liechtenstein,0,15,0
2018,Sri Lanka,4,165,0.024242424242424242
2018,Liberia,0,1,0
2018,Lesotho,0,4,0
2018,Lithuania,4,317,0.012618296529968454
2018,Luxembourg,13,156,0.08333333333333333
2018,Latvia,1,98,0.01020408163265306
2018,Libya,0,21,0
2018,Morocco,3,1079,0.0027803521779425394
2018,Monaco,0,28,0
2018,Moldova,0,20,0
2018,Montenegro,0,21,0
2018,Madagascar,1,18,0.05555555555555555
2018,North Macedonia,1,37,0.02702702702702703
2018,Mali,2,18,0.1111111111111111
2018,Myanmar (Burma),1,20,0.05
2018,Mongolia,1,20,0.05
2018,Martinique,0,29,0
2018,Mauritania,0,7,0
2018,Montserrat,0,1,0
2018,Malta,3,124,0.024193548387096774
2018,Mauritius,1,41,0.024390243902439025
2018,Maldives,0,1,0
2018,Malawi,6,27,0.2222222222222222
2018,Mexico,40,2742,0.014587892049598834
2018,Malaysia,32,2549,0.012553942722636328
2018,Mozambique,3,16,0.1875
2018,Namibia,1,11,0.09090909090909091
2018,New Caledonia,1,21,0.047619047619047616
2018,Niger,1,11,0.09090909090909091
2018,Nigeria,13,502,0.025896414342629483
2018,Nicaragua,0,6,0
2018,Netherlands,1326,6771,0.1958351794417368
2018,Norway,259,2210,0.1171945701357466
2018,Nepal,2,66,0.030303030303030304
2018,New Zealand,51,1520,0.03355263157894737
2018,Oman,4,126,0.031746031746031744
2018,Panama,1,29,0.034482758620689655
2018,Peru,9,176,0.05113636363636364
2018,French Polynesia,0,18,0
2018,Papua New Guinea,0,1,0
2018,Philippines,12,211,0.05687203791469194
2018,Pakistan,8,1845,0.004336043360433604
2018,Poland,95,5244,0.018115942028985508
2018,Palestinian Territories,0,71,0
2018,Portugal,64,3331,0.019213449414590213
2018,Paraguay,0,12,0
2018,Qatar,11,313,0.03514376996805112
2018,Réunion,0,18,0
2018,Romania,25,851,0.02937720329024677
2018,Serbia,4,816,0.004901960784313725
2018,Russia,34,4666,0.007286755250750107
2018,Rwanda,3,27,0.1111111111111111
2018,Saudi Arabia,32,1820,0.017582417582417582
2018,Seychelles,0,1,0
2018,Sudan,1,61,0.01639344262295082
2018,Sweden,574,4032,0.1423611111111111
2018,Singapore,76,2467,0.030806647750304013
2018,Slovenia,23,588,0.0391156462585034
2018,Svalbard & Jan Mayen,0,1,0
2018,Slovakia,14,553,0.02531645569620253
2018,Sierra Leone,1,4,0.25
2018,Senegal,1,68,0.014705882352941176
2018,Somalia,0,1,0
2018,Suriname,0,2,0
2018,South Sudan,0,3,0
2018,El Salvador,0,2,0
2018,Syria,0,36,0
2018,Eswatini,1,3,0.3333333333333333
2018,Chad,0,1,0
2018,Togo,0,21,0
2018,Thailand,36,1951,0.018452075858534086
2018,Tajikistan,0,10,0
2018,Tunisia,11,2281,0.004822446295484437
2018,Turkey,27,5268,0.005125284738041002
2018,Trinidad & Tobago,0,38,0
2018,Taiwan,62,4420,0.014027149321266969
2018,Tanzania,8,65,0.12307692307692308
2018,Ukraine,4,576,0.006944444444444444
2018,Uganda,5,61,0.08196721311475409
2018,United States,2973,83319,0.03568213732762035
2018,Uruguay,1,184,0.005434782608695652
2018,Uzbekistan,0,81,0
2018,St. Vincent & Grenadines,0,1,0
2018,Venezuela,0,108,0
2018,Vietnam,12,791,0.015170670037926675
2018,Vanuatu,0,1,0
2018,Samoa,0,1,0
2018,Yemen,1,39,0.02564102564102564
2018,South Africa,315,2544,0.12382075471698113
2018,Zambia,4,21,0.19047619047619047
2018,Zimbabwe,3,62,0.04838709677419355
2019,United Arab Emirates,14,592,0.02364864864864865
2019,Afghanistan,1,10,0.1
2019,Antigua & Barbuda,0,2,0
2019,Albania,0,19,0
2019,Armenia,0,66,0
2019,Angola,1,2,0.5
2019,Argentina,13,2116,0.006143667296786389
2019,Austria,338,2323,0.14550150667240638
2019,Australia,358,12915,0.027719705768486258
2019,Aruba,0,1,0
2019,Azerbaijan,0,46,0
2019,Bosnia & Herzegovina,0,49,0
2019,Barbados,1,12,0.08333333333333333
2019,Bangladesh,18,519,0.03468208092485549
2019,Belgium,233,3838,0.06070870244919229
2019,Burkina Faso,1,39,0.02564102564102564
2019,Bulgaria,6,301,0.019933554817275746
2019,Bahrain,2,27,0.07407407407407407
2019,Burundi,1,4,0.25
2019,Benin,5,43,0.11627906976744186
2019,Bermuda,0,2,0
2019,Brunei,2,27,0.07407407407407407
2019,Bolivia,3,21,0.14285714285714285
2019,Brazil,89,12256,0.0072617493472584855
2019,Bahamas,0,1,0
2019,Bhutan,0,9,0
2019,Botswana,2,35,0.05714285714285714
2019,Belarus,1,128,0.0078125
2019,Belize,0,1,0
2019,Canada,544,12943,0.042030441165108554
2019,Congo - Kinshasa,1,38,0.02631578947368421
2019,Central African Republic,0,5,0
2019,Congo - Brazzaville,2,16,0.125
2019,Switzerland,480,3871,0.12399896667527771
2019,Côte d’Ivoire,2,66,0.030303030303030304
2019,Chile,20,1557,0.012845215157353885
2019,Cameroon,7,249,0.028112449799196786
2019,China,1352,116673,0.011587942368842833
2019,Colombia,26,1274,0.02040816326530612
2019,Costa Rica,1,76,0.013157894736842105
2019,Cuba,0,85,0
2019,Cape Verde,0,2,0
2019,Curaçao,0,1,0
2019,Cyprus,11,287,0.03832752613240418
2019,Czechia,87,2147,0.04052165812761994
2019,Germany,1216,15515,0.07837576538833387
2019,Djibouti,0,1,0
2019,Denmark,196,2959,0.06623859411963501
2019,Dominican Republic,0,10,0
2019,Algeria,12,919,0.013057671381936888
2019,Ecuador,5,205,0.024390243902439025
2019,Estonia,16,247,0.06477732793522267
2019,Egypt,31,3280,0.009451219512195122
2019,Eritrea,0,1,0
2019,Spain,471,16077,0.029296510543011755
2019,Ethiopia,23,236,0.09745762711864407
2019,Finland,482,2158,0.22335495829471733
2019,Fiji,1,28,0.03571428571428571
2019,Falkland Islands,0,2,0
2019,Faroe Islands,2,11,0.18181818181818182
2019,France,434,17821,0.02435329106110768
2019,Gabon,0,9,0
2019,United Kingdom,3313,20888,0.15860781309842972
2019,Grenada,0,10,0
2019,Georgia,4,115,0.034782608695652174
2019,French Guiana,0,9,0
2019,Ghana,14,201,0.06965174129353234
2019,Gibraltar,0,1,0
2019,Greenland,0,7,0
2019,Gambia,3,8,0.375
2019,Guinea,0,9,0
2019,Guadeloupe,1,19,0.05263157894736842
2019,Greece,42,2351,0.01786473840918758
2019,Guatemala,2,17,0.11764705882352941
2019,Guinea-Bissau,0,4,0
2019,Guyana,0,23,0
2019,Honduras,0,12,0
2019,Croatia,15,518,0.02895752895752896
2019,Haiti,0,2,0
2019,Hungary,70,1025,0.06829268292682927
2019,Indonesia,37,833,0.04441776710684274
2019,Ireland,65,1529,0.04251144538914323
2019,Israel,61,2497,0.024429315178213857
2019,India,217,19926,0.010890294088126067
2019,Iraq,7,459,0.015250544662309368
2019,Iran,38,11807,0.003218429745066486
2019,Iceland,9,117,0.07692307692307693
2019,Italy,617,14665,0.04207296283668599
2019,Jamaica,0,34,0
2019,Jordan,2,318,0.006289308176100629
2019,Japan,744,14888,0.04997313272434175
2019,Kenya,37,149,0.24832214765100671
2019,Kyrgyzstan,0,21,0
2019,Cambodia,3,21,0.14285714285714285
2019,St. Kitts & Nevis,1,17,0.058823529411764705
2019,South Korea,214,12437,0.017206721878266464
2019,Kuwait,0,177,0
2019,Cayman Islands,0,1,0
2019,Kazakhstan,7,157,0.044585987261146494
2019,Laos,4,9,0.4444444444444444
2019,Lebanon,5,432,0.011574074074074073
2019,Liechtenstein,0,13,0
2019,Sri Lanka,7,179,0.03910614525139665
2019,Lesotho,2,4,0.5
2019,Lithuania,13,367,0.035422343324250684
2019,Luxembourg,21,172,0.12209302325581395
2019,Latvia,3,123,0.024390243902439025
2019,Libya,0,28,0
2019,Morocco,9,1045,0.00861244019138756
2019,Monaco,2,24,0.08333333333333333
2019,Moldova,1,21,0.047619047619047616
2019,Montenegro,1,14,0.07142857142857142
2019,Madagascar,1,19,0.05263157894736842
2019,North Macedonia,0,27,0
2019,Mali,0,11,0
2019,Myanmar (Burma),0,15,0
2019,Mongolia,1,27,0.037037037037037035
2019,Martinique,0,24,0
2019,Mauritania,0,6,0
2019,Malta,5,117,0.042735042735042736
2019,Mauritius,3,38,0.07894736842105263
2019,Maldives,0,3,0
2019,Malawi,1,15,0.06666666666666667
2019,Mexico,58,3077,0.018849528761780955
2019,Malaysia,24,2812,0.008534850640113799
2019,Mozambique,4,23,0.17391304347826086
2019,Namibia,1,13,0.07692307692307693
