country_name_fct,cr_year,articles,cc_total,prop
Iran,'22,160,28,0.175
Iran,'23,106,26,0.24528301886792453
Iran,'24,78,14,0.1794871794871795
Other,'17,2609,100,0.038328861632809505
Other,'18,2583,390,0.15098722415795587
Other,'19,2467,400,0.16214025131738954
Other,'20,2519,453,0.1798332671695117
Other,'21,2314,415,0.17934312878133102
Other,'22,2266,436,0.19240953221535745
Other,'23,2285,476,0.20831509846827134
Other,'24,1347,301,0.22345953971789162
