cr_year,issn_l,collection,articles,oa_articles
2017,0013-4651,de,78,0
2017,0013-4651,global,1487,0
2017,2162-8769,de,11,0
2017,2162-8769,global,330,0
2018,0013-4651,de,120,71
2018,0013-4651,global,1536,582
2018,2162-8769,de,10,4
2018,2162-8769,global,305,69
2019,0013-4651,de,103,81
2019,0013-4651,global,1633,647
2019,2162-8769,de,12,9
2019,2162-8769,global,366,168
2020,0013-4651,de,115,79
2020,0013-4651,global,1616,708
2020,2162-8769,de,9,6
2020,2162-8769,global,434,164
2021,0013-4651,de,97,74
2021,0013-4651,global,1505,529
2021,2162-8769,de,6,5
2021,2162-8769,global,554,101
2022,0013-4651,de,106,80
2022,0013-4651,global,1515,460
2022,2162-8769,de,3,0
2022,2162-8769,global,497,60
2023,0013-4651,de,96,89
2023,0013-4651,global,1154,456
2023,2162-8769,de,6,4
2023,2162-8769,global,486,56
2024,0013-4651,de,75,66
2024,0013-4651,global,1203,483
2024,2162-8769,de,3,3
2024,2162-8769,global,417,47
2025,0013-4651,de,35,28
2025,0013-4651,global,1120,450
2025,2162-8769,de,1,0
2025,2162-8769,global,367,43
2026,0013-4651,de,2,1
2026,0013-4651,global,192,61
2026,2162-8769,de,0,0
2026,2162-8769,global,53,4
